open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-04-22,0.7186,0.7317,0.7111,0.7191,2163476.0,2022-04-22 23:59:59.999000064,1560565.6568,7493,1138727.0,822170.2338,0
2022-04-23,0.7192,0.7247,0.7037,0.7067,2183954.0,2022-04-23 23:59:59.999000064,1562685.087,5647,1085505.0,777388.2802,0
2022-04-24,0.7073,0.7144,0.6971,0.7011,1355958.0,2022-04-24 23:59:59.999000064,957209.4875,4740,682847.0,482102.2752,0
2022-04-25,0.7011,0.7059,0.6557,0.7031,5335633.0,2022-04-25 23:59:59.999000064,3631291.0785,13205,2425919.0,1653174.3741,0
2022-04-26,0.7032,0.7281,0.643,0.6562,5137925.0,2022-04-26 23:59:59.999000064,3524462.0234,13290,2530792.0,1741152.0874,0
2022-04-27,0.6556,0.6785,0.649,0.6711,2214026.0,2022-04-27 23:59:59.999000064,1472647.6024,6692,1052762.0,700575.0776,0
2022-04-28,0.6713,0.7155,0.6612,0.6992,4410363.0,2022-04-28 23:59:59.999000064,3015711.575,12663,2363131.0,1619495.7404,0
2022-04-29,0.6983,0.71,0.6193,0.6369,8889754.74,2022-04-29 23:59:59.999000064,5939784.0036,14328,3106735.0,2072503.6152,0
2022-04-30,0.6377,0.6395,0.5379,0.5675,3371640.04,2022-04-30 23:59:59.999000064,2014324.6021,8630,1483200.0,885440.216,0
2022-05-01,0.5674,0.6052,0.5645,0.6012,3850177.0,2022-05-01 23:59:59.999000064,2255477.7844,8296,2030474.0,1190303.275,0
2022-05-02,0.6015,0.6482,0.58,0.6162,4409627.0,2022-05-02 23:59:59.999000064,2682092.3141,9936,2246837.0,1367326.844,0
2022-05-03,0.6161,0.7421,0.6113,0.6708,23259103.0,2022-05-03 23:59:59.999000064,16185272.7206,55443,11861012.0,8248540.1017,0
2022-05-04,0.671,0.7185,0.6532,0.7157,13945123.0,2022-05-04 23:59:59.999000064,9474367.809,33001,7256115.0,4935343.0129,0
2022-05-05,0.716,0.7308,0.6145,0.6343,7460864.0,2022-05-05 23:59:59.999000064,5018361.7271,21448,3560327.0,2406646.412,0
