,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2019-09-19,21.2021,21.5998,20.7415,21.5998,2416.72,2019-09-19 23:59:59.999000064,51176.899183,568,151.22,3233.335502,0
1,2019-09-20,21.4918,21.538,20.9728,21.228,1014.81,2019-09-20 23:59:59.999000064,21637.032835,334,689.47,14745.153511,0
2,2019-09-21,21.3134,21.4138,20.8128,20.8755,35.59,2019-09-21 23:59:59.999000064,749.196112,22,24.6,517.207235,0
3,2019-09-22,20.7415,20.7415,20.0146,20.4181,198.81,2019-09-22 23:59:59.999000064,4059.979917,37,105.99,2165.878685,0
4,2019-09-23,20.3258,20.3258,19.2092,19.3267,804.23,2019-09-23 23:59:59.999000064,15831.140514,68,384.79,7571.610984,0
5,2019-09-24,19.3636,19.3789,5.11,15.6254,4752.91,2019-09-24 23:59:59.999000064,86429.322664,484,535.45,9377.728723,0
6,2019-09-25,16.0987,16.4216,14.922,16.1696,1638.93,2019-09-25 23:59:59.999000064,25641.587806,138,799.4,12609.321696,0
7,2019-09-26,15.8828,16.3,14.3996,15.2217,3430.76,2019-09-26 23:59:59.999000064,52409.655478,317,601.06,9494.606511,0
8,2019-09-27,15.0161,15.706,14.7364,15.632,2140.38,2019-09-27 23:59:59.999000064,32517.694171,161,494.82,7554.472053,0
9,2019-09-28,15.6415,15.8583,15.3674,15.8583,1408.24,2019-09-28 23:59:59.999000064,22034.6649,181,1354.3,21192.711894,0
10,2019-09-29,15.7043,15.7043,14.954,15.2957,2448.31,2019-09-29 23:59:59.999000064,37306.7755,159,789.69,12060.613838,0
11,2019-09-30,15.1218,15.8374,14.7255,15.7932,2907.79,2019-09-30 23:59:59.999000064,44566.567901,159,1683.42,25583.097357,0
12,2019-10-01,15.8534,16.2708,15.7064,15.8527,5981.72,2019-10-01 23:59:59.999000064,95382.013699,672,4944.14,78786.307277,0
13,2019-10-02,15.772,15.8477,15.5281,15.8103,1070.14,2019-10-02 23:59:59.999000064,16776.081801,175,813.66,12757.152651,0
14,2019-10-03,15.8149,15.924,15.3981,15.47,304.72,2019-10-03 23:59:59.999000064,4787.512843,48,266.08,4178.904669,0
15,2019-10-04,15.458,15.7958,15.3839,15.6964,380.72,2019-10-04 23:59:59.999000064,5959.568319,67,320.61,5027.490432,0
16,2019-10-05,15.558,15.6483,15.4508,15.6365,550.87,2019-10-05 23:59:59.999000064,8598.258656,35,476.64,7439.526096,0
17,2019-10-06,15.7053,15.7104,15.0595,15.2,1681.97,2019-10-06 23:59:59.999000064,25528.930766,129,1491.64,22648.604961,0
18,2019-10-07,14.9047,16.0309,14.9004,16.0309,4751.86,2019-10-07 23:59:59.999000064,73385.524757,336,1821.07,28356.930896,0
19,2019-10-08,15.987,16.3158,15.8382,15.9772,1082.77,2019-10-08 23:59:59.999000064,17357.557232,98,818.88,13140.333096,0
20,2019-10-09,16.0576,18.0,15.9264,17.7662,10099.48,2019-10-09 23:59:59.999000064,174155.689636,725,5351.83,92674.814796,0
21,2019-10-10,17.7542,17.9261,17.0798,17.6407,2908.21,2019-10-10 23:59:59.999000064,50825.561144,309,1989.58,34751.914469,0
22,2019-10-11,17.597,17.685,16.555,16.5865,4217.67,2019-10-11 23:59:59.999000064,71686.208075,557,1914.66,32601.798512,0
23,2019-10-12,16.5682,17.468,16.555,17.2088,3376.99,2019-10-12 23:59:59.999000064,57763.964446,736,1961.49,33623.843313,0
24,2019-10-13,17.1882,18.7529,17.1449,18.26,9300.01,2019-10-13 23:59:59.999000064,167641.843208,1979,4113.75,73944.713747,0
25,2019-10-14,18.2244,18.625,17.8933,18.4212,8691.11,2019-10-14 23:59:59.999000064,158820.36524,1552,3260.69,59629.678767,0
26,2019-10-15,18.4719,19.138,18.0958,18.5714,13226.12,2019-10-15 23:59:59.999000064,246921.955376,2328,4468.91,83360.671083,0
27,2019-10-16,18.562,18.6046,17.3932,17.7434,12969.92,2019-10-16 23:59:59.999000064,233063.318926,2001,5820.19,104684.26998,0
28,2019-10-17,17.7708,18.8,17.6,18.5264,8845.83,2019-10-17 23:59:59.999000064,161889.510433,1560,3612.65,65983.090995,0
29,2019-10-18,18.5059,18.7441,17.7058,18.212,11021.53,2019-10-18 23:59:59.999000064,200528.231015,1754,2456.58,44730.821441,0
30,2019-10-19,18.2324,18.44,17.8876,18.2325,7122.8,2019-10-19 23:59:59.999000064,129328.681861,1402,2431.21,44213.752882,0
31,2019-10-20,18.2056,18.5714,17.7647,18.5108,9687.13,2019-10-20 23:59:59.999000064,176751.141775,1507,4202.42,76693.96404,0
32,2019-10-21,18.4973,18.4973,17.8939,18.2834,11717.24,2019-10-21 23:59:59.999000064,212742.325713,1755,3090.21,56264.772182,0
33,2019-10-22,18.2835,18.799,18.1053,18.2299,10696.05,2019-10-22 23:59:59.999000064,197678.384625,1948,3811.18,70470.202911,0
34,2019-10-23,18.2121,18.2121,16.1062,16.6941,13143.58,2019-10-23 23:59:59.999000064,227362.142248,2095,3728.89,63870.891934,0
35,2019-10-24,16.7197,17.1057,16.3354,16.9511,14619.32,2019-10-24 23:59:59.999000064,243339.918373,2280,2736.0,45667.89274,0
