open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2023-03-03,0.08057,0.08062,0.07329,0.07685,404779731.0,2023-03-03 23:59:59.999000064,30601441.91972,93037,187009830.0,14131616.91336,0
2023-03-04,0.07684,0.07727,0.07256,0.07463,196182672.0,2023-03-04 23:59:59.999000064,14656038.10969,39244,86884276.0,6495171.92042,0
2023-03-05,0.07462,0.07607,0.07429,0.07476,137550924.0,2023-03-05 23:59:59.999000064,10353994.84095,27898,67513998.0,5082289.41441,0
2023-03-06,0.07475,0.07514,0.07319,0.07478,190546394.0,2023-03-06 23:59:59.999000064,14121147.76139,42670,92815022.0,6880162.33407,0
2023-03-07,0.07478,0.07596,0.07234,0.07403,207593086.0,2023-03-07 23:59:59.999000064,15411977.88675,48247,106114669.0,7881762.30578,0
2023-03-08,0.07406,0.07431,0.07,0.07112,226771806.0,2023-03-08 23:59:59.999000064,16470076.2236,50792,113284586.0,8231576.40174,0
2023-03-09,0.07112,0.07229,0.06394,0.06595,491228903.0,2023-03-09 23:59:59.999000064,33506263.99721,92542,249031097.0,17020139.50004,0
2023-03-10,0.06596,0.06617,0.06255,0.06592,413750267.0,2023-03-10 23:59:59.999000064,26825966.66544,82064,207626714.0,13466332.34744,0
2023-03-11,0.06591,0.06882,0.06371,0.06653,316987123.0,2023-03-11 23:59:59.999000064,20879912.49445,80804,169400754.0,11157375.65596,0
2023-03-12,0.06652,0.07112,0.06558,0.07076,233641395.0,2023-03-12 23:59:59.999000064,15816937.17173,52721,112068047.0,7598292.41004,0
2023-03-13,0.07076,0.07379,0.06837,0.07302,329495877.0,2023-03-13 23:59:59.999000064,23460597.60069,79901,164859769.0,11737028.93689,0
2023-03-14,0.07301,0.07788,0.07138,0.07482,383653610.0,2023-03-14 23:59:59.999000064,28660107.03323,102803,198714030.0,14846433.84557,0
2023-03-15,0.07481,0.07618,0.06757,0.06991,318623415.0,2023-03-15 23:59:59.999000064,22899179.21104,91090,157734067.0,11346557.99853,0
2023-03-16,0.06987,0.07417,0.06894,0.07268,218316630.0,2023-03-16 23:59:59.999000064,15426390.60351,61014,110491904.0,7808445.81693,0
2023-03-17,0.07269,0.07733,0.07158,0.07653,284581573.0,2023-03-17 23:59:59.999000064,21212681.33902,79706,145182436.0,10824858.56295,0
2023-03-18,0.07651,0.07898,0.07265,0.07312,306595410.0,2023-03-18 23:59:59.999000064,23414437.23645,93238,155007459.0,11841703.71782,0
2023-03-19,0.07314,0.07669,0.07314,0.07472,184255953.0,2023-03-19 23:59:59.999000064,13823887.7369,56748,93855514.0,7042840.64357,0
2023-03-20,0.07473,0.07576,0.07056,0.07158,258354099.0,2023-03-20 23:59:59.999000064,18990972.40025,78363,129458476.0,9522212.6504,0
2023-03-21,0.0715,0.07799,0.07051,0.07676,335660916.0,2023-03-21 23:59:59.999000064,25087081.17092,103972,168765179.0,12623474.06484,0
2023-03-22,0.07674,0.07823,0.07163,0.07404,453898357.0,2023-03-22 23:59:59.999000064,34288349.22684,126470,218523707.0,16505327.96161,0
2023-03-23,0.07404,0.07922,0.07313,0.07749,358849853.0,2023-03-23 23:59:59.999000064,27584295.75963,93663,180109281.0,13840080.48357,0
2023-03-24,0.0775,0.07761,0.07305,0.07464,184262417.0,2023-03-24 23:59:59.999000064,13856322.70824,53271,87850552.0,6604870.13961,0
2023-03-25,0.07461,0.07606,0.07257,0.0741,146654712.0,2023-03-25 23:59:59.999000064,10942262.45727,42702,70870076.0,5289136.21777,0
2023-03-26,0.0741,0.07553,0.07342,0.07444,115193520.0,2023-03-26 23:59:59.999000064,8582488.85464,30235,55778622.0,4156477.53632,0
2023-03-27,0.07444,0.07624,0.07131,0.07293,250650652.0,2023-03-27 23:59:59.999000064,18473067.43553,63130,126189702.0,9304016.37666,0
2023-03-28,0.07294,0.07404,0.0717,0.07384,149836211.0,2023-03-28 23:59:59.999000064,10909378.7835,39001,72749720.0,5299335.85634,0
2023-03-29,0.07384,0.07687,0.07354,0.0756,167084303.0,2023-03-29 23:59:59.999000064,12634124.34426,46130,84346372.0,6378391.53172,0
2023-03-30,0.07558,0.07685,0.07334,0.07425,194361400.0,2023-03-30 23:59:59.999000064,14549429.73541,51307,92198915.0,6902156.70217,0
2023-03-31,0.07425,0.0779,0.07347,0.07697,163886058.0,2023-03-31 23:59:59.999000064,12407578.27556,43819,83608632.0,6330487.79271,0
2023-04-01,0.07697,0.0834,0.07596,0.08187,442116345.0,2023-04-01 23:59:59.999000064,35259073.8101,107839,222543836.0,17745655.07103,0
2023-04-02,0.08187,0.08564,0.07733,0.07908,496988062.0,2023-04-02 23:59:59.999000064,40721762.65999,134957,246616030.0,20223586.35801,0
2023-04-03,0.07908,0.105,0.07607,0.09605,2001551415.0,2023-04-03 23:59:59.999000064,185946914.86586,540203,1017674074.0,94700831.16188,0
2023-04-04,0.09606,0.10354,0.09215,0.0952,1836276796.0,2023-04-04 23:59:59.999000064,179838032.41704,449102,932060056.0,91340215.8013,0
2023-04-05,0.09513,0.09918,0.09059,0.09274,815462913.0,2023-04-05 23:59:59.999000064,78007421.99506,196788,409469899.0,39169875.48908,0
2023-04-06,0.09274,0.0928,0.0842,0.08545,787568000.0,2023-04-06 23:59:59.999000064,70252137.74651,196659,384756611.0,34326437.11132,0
2023-04-07,0.08545,0.08623,0.08122,0.08231,508004594.0,2023-04-07 23:59:59.999000064,42253615.54076,127270,237164784.0,19731540.90066,0
