,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2022-06-25,1223.84,1255.0,1178.31,1241.47,278261.1266,2022-06-25 23:59:59.999000064,338010435.886979,404526,141598.4217,172180500.72532,0
1,2022-06-26,1241.36,1279.92,1193.68,1197.18,258477.1577,2022-06-26 23:59:59.999000064,319458932.75975,402145,131949.5243,163162088.451694,0
2,2022-06-27,1197.14,1240.0,1172.31,1191.24,343933.7097,2022-06-27 23:59:59.999000064,414629161.650081,409315,168356.0352,202976971.459025,0
3,2022-06-28,1191.24,1236.8,1135.0,1142.73,361075.1755,2022-06-28 23:59:59.999000064,429545263.090301,452326,180446.9539,214744800.65144,0
4,2022-06-29,1142.58,1155.59,1085.96,1098.89,409744.118,2022-06-29 23:59:59.999000064,458327732.124733,528149,205163.1841,229487557.540795,0
5,2022-06-30,1098.9,1105.3,996.13,1069.77,490377.6138,2022-06-30 23:59:59.999000064,510178492.28858495,603455,235391.3804,245027566.668884,0
6,2022-07-01,1069.72,1114.87,1032.16,1058.43,524194.2455,2022-07-01 23:59:59.999000064,558948488.4557929,609353,264903.7666,282536677.849307,0
7,2022-07-02,1058.46,1077.5,1026.87,1065.5,259467.3931,2022-07-02 23:59:59.999000064,272867096.561999,299632,127213.054,133840055.548912,0
8,2022-07-03,1065.5,1086.0,1039.38,1072.72,247445.648,2022-07-03 23:59:59.999000064,263041351.809897,284528,128401.3753,136551119.11673,0
9,2022-07-04,1072.95,1159.93,1043.98,1149.85,413314.7883,2022-07-04 23:59:59.999000064,454331954.554136,426313,214542.068,236049032.019816,0
10,2022-07-05,1149.72,1172.9,1076.09,1131.35,517767.5725,2022-07-05 23:59:59.999000064,584240183.286202,531087,252794.0531,285633147.882894,0
11,2022-07-06,1131.34,1203.48,1110.5,1185.21,529338.558,2022-07-06 23:59:59.999000064,604829096.09813,537909,267898.4258,306212867.856189,0
12,2022-07-07,1185.2,1253.58,1162.23,1236.75,452321.2447,2022-07-07 23:59:59.999000064,545356083.986081,442624,225798.2875,272318318.75447,0
13,2022-07-08,1236.76,1275.8,1192.27,1213.43,532824.6911,2022-07-08 23:59:59.999000064,656058194.420352,571438,263663.2046,324555823.267069,0
14,2022-07-09,1213.22,1234.0,1203.97,1216.48,221022.3542,2022-07-09 23:59:59.999000064,269078921.162875,268521,112562.2163,137054763.321996,0
15,2022-07-10,1216.49,1219.08,1152.49,1167.58,315586.7732,2022-07-10 23:59:59.999000064,372160074.99915105,327154,154039.6677,181653016.822434,0
16,2022-07-11,1167.62,1170.54,1090.0,1095.56,370001.4237,2022-07-11 23:59:59.999000064,420949349.43757105,388015,187028.998,212902992.973944,0
17,2022-07-12,1095.55,1097.43,1032.24,1037.54,410185.3482,2022-07-12 23:59:59.999000064,438188135.570966,442881,202396.3158,216271472.698776,0
18,2022-07-13,1037.54,1118.47,1005.26,1114.12,607640.0099,2022-07-13 23:59:59.999000064,643400228.9606409,632197,307471.5195,325722024.470414,0
19,2022-07-14,1113.98,1213.33,1071.18,1192.48,475439.627,2022-07-14 23:59:59.999000064,536485002.194146,532044,242259.8178,273394128.020461,0
20,2022-07-15,1192.47,1288.0,1179.91,1230.9,514652.1843,2022-07-15 23:59:59.999000064,629639913.4139609,570746,253271.6313,309954880.963733,0
21,2022-07-16,1230.88,1421.14,1191.41,1355.38,496432.3978,2022-07-16 23:59:59.999000064,639566686.473387,600954,250666.2913,323477279.650271,0
22,2022-07-17,1355.62,1386.31,1318.58,1338.29,421908.5938,2022-07-17 23:59:59.999000064,571232163.72353,522465,211177.828,285982728.504067,0
23,2022-07-18,1338.3,1596.0,1335.11,1580.51,675960.2244,2022-07-18 23:59:59.999000064,992888781.213261,884149,350698.09,514904930.443236,0
24,2022-07-19,1580.51,1630.95,1490.43,1542.57,704592.3017,2022-07-19 23:59:59.999000064,1089353911.003387,978317,348467.3401,538789430.733582,0
25,2022-07-20,1542.51,1620.87,1484.97,1521.8,626248.6024,2022-07-20 23:59:59.999000064,979325447.7143991,830667,310933.1455,486492707.300296,0
26,2022-07-21,1521.62,1607.0,1463.92,1575.75,537865.1134,2022-07-21 23:59:59.999000064,818335053.522309,703029,272034.8101,413889609.062858,0
27,2022-07-22,1575.49,1646.22,1517.02,1535.26,544871.6809,2022-07-22 23:59:59.999000064,868348408.999364,623550,265516.57,423082539.92925906,0
28,2022-07-23,1535.26,1596.85,1488.1,1548.83,359894.6692,2022-07-23 23:59:59.999000064,554266671.965154,473556,180002.8954,277239049.46971,0
29,2022-07-24,1548.79,1664.3,1545.91,1597.88,431709.2325,2022-07-24 23:59:59.999000064,691783353.09154,560534,223903.2715,358772837.060151,0
30,2022-07-25,1597.89,1609.6,1435.4,1440.94,617456.7144,2022-07-25 23:59:59.999000064,937200984.9574951,709562,294906.5775,447755062.97302,0
31,2022-07-26,1440.94,1454.27,1356.26,1449.28,534915.8493,2022-07-26 23:59:59.999000064,751277695.3675059,584038,266854.3561,374858215.537246,0
32,2022-07-27,1449.25,1645.0,1421.07,1636.62,648978.011,2022-07-27 23:59:59.999000064,988224901.812037,801312,325569.631,495665966.77417,0
33,2022-07-28,1636.61,1784.0,1594.96,1724.76,645226.0265,2022-07-28 23:59:59.999000064,1077818931.342185,896884,331944.5091,554847105.864403,0
34,2022-07-29,1724.92,1766.01,1657.11,1722.47,526965.7949,2022-07-29 23:59:59.999000064,901972273.3618019,791157,262518.2388,449454541.136654,0
35,2022-07-30,1722.47,1744.94,1674.0,1697.42,333924.5727,2022-07-30 23:59:59.999000064,571414877.600609,506835,163618.0449,279956937.779478,0
36,2022-07-31,1697.5,1754.65,1667.36,1679.01,290655.3618,2022-07-31 23:59:59.999000064,495872337.819501,441254,144991.5774,247508621.533209,0
37,2022-08-01,1679.01,1705.21,1606.75,1630.57,350981.9917,2022-08-01 23:59:59.999000064,582865919.541643,503054,169694.4856,281763466.191803,0
38,2022-08-02,1630.57,1678.86,1559.99,1631.06,513222.1266,2022-08-02 23:59:59.999000064,828543937.8672221,711194,258877.8381,417999287.30081105,0
39,2022-08-03,1631.19,1685.0,1590.3,1618.69,375194.0218,2022-08-03 23:59:59.999000064,616288337.263894,561556,185656.2632,304952953.708855,0
40,2022-08-04,1618.68,1663.07,1577.46,1608.19,360701.9821,2022-08-04 23:59:59.999000064,583908009.626399,519024,181997.7937,294550671.96626,0
41,2022-08-05,1607.99,1742.92,1605.59,1736.48,476283.6745,2022-08-05 23:59:59.999000064,800021969.302099,609279,239032.1384,401427335.862164,0
42,2022-08-06,1736.96,1750.0,1686.0,1690.87,213601.0413,2022-08-06 23:59:59.999000064,367080174.58121693,297522,101510.9996,174450059.178329,0
43,2022-08-07,1690.88,1730.0,1668.95,1700.1,198118.0518,2022-08-07 23:59:59.999000064,336112571.252164,271359,97593.5481,165605137.340172,0
44,2022-08-08,1700.49,1818.64,1694.24,1777.38,355095.6766,2022-08-08 23:59:59.999000064,626720783.108628,449657,177051.2997,312393621.566076,0
45,2022-08-09,1777.2,1791.51,1668.98,1703.31,335581.8819,2022-08-09 23:59:59.999000064,577960841.195175,443097,160933.5893,277082722.762236,0
46,2022-08-10,1703.29,1886.0,1656.53,1854.01,519816.8261,2022-08-10 23:59:59.999000064,923955024.114366,665907,261148.0978,464089828.84369296,0
47,2022-08-11,1854.0,1942.68,1850.8,1881.01,495029.5291,2022-08-11 23:59:59.999000064,938360428.521432,614585,246982.3642,468284833.277172,0
48,2022-08-12,1881.01,1965.32,1854.59,1959.22,336374.5513,2022-08-12 23:59:59.999000064,639067260.944397,422237,167774.3012,318818332.49554,0
49,2022-08-13,1959.22,2022.0,1947.4,1984.36,319963.4627,2022-08-13 23:59:59.999000064,635879821.832137,413018,160220.2603,318489693.208645,0
50,2022-08-14,1984.37,2031.13,1907.21,1935.95,277153.4437,2022-08-14 23:59:59.999000064,546334828.619328,373006,135295.8825,266795667.848688,0
51,2022-08-15,1935.96,2012.68,1873.26,1899.6,432085.3693,2022-08-15 23:59:59.999000064,830317021.853358,559155,211310.7529,406218926.54239696,0
52,2022-08-16,1899.46,1915.01,1852.65,1876.93,313116.725,2022-08-16 23:59:59.999000064,589566259.353418,427598,156670.8066,295068534.402558,0
53,2022-08-17,1876.82,1958.0,1819.21,1834.24,434545.8302,2022-08-17 23:59:59.999000064,813172591.676713,579866,216707.9742,405470559.700602,0
54,2022-08-18,1834.25,1882.55,1821.5,1846.53,265525.0548,2022-08-18 23:59:59.999000064,493614630.85019696,383205,134714.3629,250468079.292035,0
55,2022-08-19,1846.53,1848.09,1603.01,1608.98,591751.2829,2022-08-19 23:59:59.999000064,1021503184.193912,722323,281516.0694,486173258.056214,0
56,2022-08-20,1608.97,1656.8,1523.0,1575.78,375728.6142,2022-08-20 23:59:59.999000064,603066620.904756,467092,189073.2524,303733891.752108,0
57,2022-08-21,1575.77,1646.96,1562.38,1618.21,350856.8197,2022-08-21 23:59:59.999000064,564324209.451746,413606,176479.6616,283774530.661866,0
58,2022-08-22,1618.08,1629.0,1530.0,1624.62,462586.9389,2022-08-22 23:59:59.999000064,729053363.92097,505617,234261.5197,369202631.982558,0
59,2022-08-23,1624.63,1674.94,1563.59,1665.23,417558.1522,2022-08-23 23:59:59.999000064,678985358.097037,495439,212349.4943,345402335.975308,0
60,2022-08-24,1665.4,1694.0,1605.35,1656.45,385645.4685,2022-08-24 23:59:59.999000064,636594868.769378,416087,191451.0292,316052170.546859,0
61,2022-08-25,1656.46,1722.0,1654.25,1695.02,311906.5608,2022-08-25 23:59:59.999000064,529427085.027192,357586,160951.5839,273203999.106219,0
62,2022-08-26,1695.25,1706.51,1486.63,1508.19,2670913.9242,2022-08-26 23:59:59.999000064,4351756162.29938,2614067,1325107.3719,2159149919.4840393,0
63,2022-08-27,1508.19,1518.84,1447.01,1490.92,1166043.0998,2022-08-27 23:59:59.999000064,1742496217.32425,1365865,585215.6945,874521319.232281,0
