open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2019-10-21,175.0,177.89,171.87,174.29,460.13617,2019-10-21 23:59:59.999000064,80494.8182145,691,148.52806,26088.8778794,0
2019-10-22,174.24,175.13,170.34,171.31,647.82578,2019-10-22 23:59:59.999000064,112352.327308,776,215.95471,37433.061921,0
2019-10-23,171.24,171.53,153.36,162.46,1130.90732,2019-10-23 23:59:59.999000064,183037.2491397,1382,389.84541,62577.3040911,0
2019-10-24,162.34,163.5,158.44,161.0,808.86735,2019-10-24 23:59:59.999000064,130011.0749775,1155,46.65817,7517.5039908,0
2019-10-25,161.02,186.73,161.0,181.74,1762.18861,2019-10-25 23:59:59.999000064,305820.5767097,2228,701.0992,123146.6960484,0
2019-10-26,182.39,196.94,174.2,180.03,1427.23093,2019-10-26 23:59:59.999000064,265383.194959,1904,589.22456,109328.4437313,0
2019-10-27,180.19,188.94,105.0,184.18,525.94096,2019-10-27 23:59:59.999000064,91908.3976829,813,178.25306,32831.3744327,0
2019-10-28,184.0,189.86,180.84,182.01,1083.69522,2019-10-28 23:59:59.999000064,198815.8429486,1839,354.39247,65091.3298748,0
2019-10-29,181.98,192.88,181.98,189.87,2307.75419,2019-10-29 23:59:59.999000064,432259.6025759,3131,668.39937,124263.2903815,0
2019-10-30,189.49,191.85,180.04,183.38,960.03865,2019-10-30 23:59:59.999000064,177589.2824225,1092,535.71142,99531.2747099,0
2019-10-31,183.57,185.19,177.86,182.37,988.41607,2019-10-31 23:59:59.999000064,179957.4680049,1214,402.00456,73144.8296817,0
2019-11-01,182.25,184.49,177.39,182.88,716.41249,2019-11-01 23:59:59.999000064,129914.1970182,949,251.32021,45573.3295243,0
2019-11-02,183.21,185.72,181.81,182.8,482.73493,2019-11-02 23:59:59.999000064,88518.9770045,691,148.78851,27366.6719648,0
2019-11-03,183.0,184.85,179.33,181.78,362.04264,2019-11-03 23:59:59.999000064,65696.9868443,680,153.31747,27856.730852,0
2019-11-04,181.74,188.58,180.61,186.11,711.69108,2019-11-04 23:59:59.999000064,132313.2270471,1202,266.15846,49302.0783916,0
2019-11-05,185.95,191.99,182.64,188.65,904.20721,2019-11-05 23:59:59.999000064,168955.3732205,1482,640.58905,119271.4809397,0
2019-11-06,188.69,194.32,188.09,191.08,733.93293,2019-11-06 23:59:59.999000064,140736.1623144,1116,414.17724,79236.4818647,0
2019-11-07,191.2,191.99,184.49,186.44,1328.3299,2019-11-07 23:59:59.999000064,248931.8806224,2079,615.40672,115883.9324029,0
2019-11-08,186.45,187.96,181.0,183.56,818.31076,2019-11-08 23:59:59.999000064,150843.0699118,1640,373.88076,68603.7194853,0
2019-11-09,183.57,185.54,182.47,185.04,693.41431,2019-11-09 23:59:59.999000064,127995.5309937,1404,77.32704,14243.5074773,0
2019-11-10,184.85,191.52,183.31,189.04,589.05567,2019-11-10 23:59:59.999000064,110614.1116598,1559,414.17841,77862.6580268,0
2019-11-11,188.88,190.0,183.82,184.61,807.45034,2019-11-11 23:59:59.999000064,150245.2563178,1749,102.57577,19216.758385,0
2019-11-12,184.61,187.05,182.0,186.76,1113.94685,2019-11-12 23:59:59.999000064,206607.8092314,2683,160.69346,29684.1249127,0
2019-11-13,186.76,189.25,184.99,187.76,455.87323,2019-11-13 23:59:59.999000064,85082.1779734,1692,153.05724,28669.8269415,0
2019-11-14,187.91,188.22,182.81,184.49,494.80147,2019-11-14 23:59:59.999000064,91567.7788433,1811,196.95855,36537.2465355,0
2019-11-15,184.44,186.32,177.21,179.69,793.85802,2019-11-15 23:59:59.999000064,143959.4072953,2591,259.80174,47303.4700754,0
2019-11-16,179.64,183.1,178.96,182.37,320.45116,2019-11-16 23:59:59.999000064,57936.8688478,1300,69.00091,12510.5014181,0
2019-11-17,182.43,185.87,180.11,183.72,399.02241,2019-11-17 23:59:59.999000064,73279.2231363,1639,154.34824,28297.0849486,0
2019-11-18,183.57,183.72,174.18,177.89,655.85155,2019-11-18 23:59:59.999000064,118494.9968867,2210,294.01823,53300.021759,0
2019-11-19,177.45,178.01,172.46,175.6,561.45539,2019-11-19 23:59:59.999000064,98246.5407282,1021,277.87099,48697.5558939,0
2019-11-20,175.4,177.02,173.34,174.33,468.00091,2019-11-20 23:59:59.999000064,81939.3085726,846,241.75176,42309.2709421,0
2019-11-21,174.1,175.32,156.92,160.65,1627.00145,2019-11-21 23:59:59.999000064,267983.4512337,2433,941.69223,154256.4690122,0
2019-11-22,160.9,162.51,137.82,149.76,2922.38088,2019-11-22 23:59:59.999000064,441724.7822328,4392,931.1028,141154.2363507,0
2019-11-23,149.88,154.31,146.42,151.85,1463.36061,2019-11-23 23:59:59.999000064,219502.1739912,1710,399.82534,59829.1533442,0
2019-11-24,152.0,152.83,139.15,140.02,602.91019,2019-11-24 23:59:59.999000064,88442.5578226,1302,311.99118,45789.1118346,0
2019-11-25,140.09,151.3,131.66,145.87,2540.45086,2019-11-25 23:59:59.999000064,364142.3005633,2136,1813.76543,261099.6932671,0
