,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2021-07-30,18.28,36.0,18.28,23.91,1227016.65,2021-07-30 23:59:59.999000064,29902637.1051,100845,584052.75,14292291.6032,0
1,2021-07-31,23.91,27.98,22.84,24.38,1356393.29,2021-07-31 23:59:59.999000064,34120393.8802,74911,683333.07,17172852.4318,0
2,2021-08-01,24.38,24.42,21.16,21.16,466571.43,2021-08-01 23:59:59.999000064,10521464.8688,23146,230447.7,5205822.5311,0
3,2021-08-02,21.21,22.7,20.76,22.16,267782.59,2021-08-02 23:59:59.999000064,5802586.322,17267,151572.02,3286768.5203,0
4,2021-08-03,22.14,22.41,20.5,20.83,150718.35,2021-08-03 23:59:59.999000064,3170722.5761,9545,75217.36,1588608.8399,0
5,2021-08-04,20.84,22.45,20.28,22.31,263393.15,2021-08-04 23:59:59.999000064,5602278.9891,18768,149442.65,3190821.7723,0
6,2021-08-05,22.31,23.48,20.91,22.29,142011.36,2021-08-05 23:59:59.999000064,3114428.6009,11221,70488.91,1550517.6902,0
7,2021-08-06,22.27,22.67,21.53,22.42,82465.14,2021-08-06 23:59:59.999000064,1822244.776,5590,43847.59,970876.5032,0
8,2021-08-07,22.47,23.4,21.93,22.67,98985.94,2021-08-07 23:59:59.999000064,2222480.4413,8038,49214.06,1108805.6897,0
9,2021-08-08,22.64,23.48,21.23,21.49,87199.51,2021-08-08 23:59:59.999000064,1945726.6164,7276,43378.56,972105.8721,0
10,2021-08-09,21.46,22.36,20.58,22.21,155681.21,2021-08-09 23:59:59.999000064,3361897.7493,9407,94356.64,2045709.1454,0
11,2021-08-10,22.19,24.14,21.68,23.09,220054.92,2021-08-10 23:59:59.999000064,5049383.0189,20137,115650.71,2651883.1391,0
12,2021-08-11,23.07,26.69,22.97,23.91,231792.47,2021-08-11 23:59:59.999000064,5747556.436,24164,135097.21,3352213.6442,0
13,2021-08-12,23.81,24.01,21.92,22.56,121826.85,2021-08-12 23:59:59.999000064,2792496.0275,11315,64380.25,1480454.764,0
14,2021-08-13,22.6,23.99,22.41,23.69,42522.15,2021-08-13 23:59:59.999000064,993729.3859,4211,19930.3,465693.0798,0
15,2021-08-14,23.66,23.91,22.56,23.29,53385.71,2021-08-14 23:59:59.999000064,1239654.0421,3771,28287.64,657117.6336,0
16,2021-08-15,23.39,23.41,22.13,23.08,38134.24,2021-08-15 23:59:59.999000064,860029.9777,3221,15482.96,350805.6747,0
