open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,1.519,1.536,1.468,1.48,344579.59,2022-10-24 23:59:59.999000064,515684.39101,3217,177442.72,265506.44765,0
2022-10-25,1.48,1.591,1.476,1.548,681827.35,2022-10-25 23:59:59.999000064,1048505.79779,6077,339074.18,521633.87681,0
2022-10-26,1.55,1.7,1.54,1.621,1774765.23,2022-10-26 23:59:59.999000064,2906779.04484,14017,922791.46,1511368.10283,0
2022-10-27,1.621,1.724,1.605,1.608,2000003.54,2022-10-27 23:59:59.999000064,3325190.73068,14937,1019500.34,1696939.03508,0
2022-10-28,1.607,1.719,1.591,1.691,1091423.37,2022-10-28 23:59:59.999000064,1797384.44741,8597,607162.89,1000448.65645,0
2022-10-29,1.691,1.866,1.689,1.791,2491594.27,2022-10-29 23:59:59.999000064,4422503.90857,17415,1279482.84,2273626.54175,0
2022-10-30,1.791,1.816,1.687,1.72,1481542.76,2022-10-30 23:59:59.999000064,2601755.4737,10474,832504.32,1462743.85869,0
2022-10-31,1.721,1.738,1.638,1.675,1094255.17,2022-10-31 23:59:59.999000064,1841448.71386,9138,544005.07,916314.34327,0
2022-11-01,1.674,1.695,1.618,1.643,598110.47,2022-11-01 23:59:59.999000064,994540.26418,4783,308604.39,512666.00859,0
2022-11-02,1.643,1.688,1.567,1.607,2105921.38,2022-11-02 23:59:59.999000064,3426970.0174,15261,1084217.59,1765124.1461,0
2022-11-03,1.607,2.059,1.604,1.767,8012867.98,2022-11-03 23:59:59.999000064,15031470.24836,51684,3976506.0,7446344.59129,0
2022-11-04,1.767,1.875,1.713,1.848,2645403.88,2022-11-04 23:59:59.999000064,4748793.01886,18168,1371779.01,2462640.55746,0
2022-11-05,1.849,1.949,1.818,1.846,2209921.24,2022-11-05 23:59:59.999000064,4151430.70285,16438,1139097.66,2138804.33721,0
2022-11-06,1.846,1.861,1.72,1.729,1054536.4,2022-11-06 23:59:59.999000064,1899610.28761,8447,557134.06,1003536.69946,0
