,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2021-06-06,0.3466,0.4499,0.3002,0.3407,1119165.0,2021-06-06 23:59:59.999000064,374800.9129,1182,494925.0,167705.3515,0
1,2021-06-07,0.3419,0.3961,0.2945,0.2971,1391077.0,2021-06-07 23:59:59.999000064,469918.0837,2481,625872.0,212225.2506,0
2,2021-06-08,0.2983,0.34,0.2574,0.2933,2171430.0,2021-06-08 23:59:59.999000064,618736.2785,4344,935256.0,268124.398,0
3,2021-06-09,0.2923,0.315,0.2729,0.3057,2084897.0,2021-06-09 23:59:59.999000064,621329.7622,3873,766738.0,228185.0925,0
4,2021-06-10,0.305,0.3098,0.2686,0.279,1803073.0,2021-06-10 23:59:59.999000064,524231.2665,2712,944032.0,275188.7544,0
5,2021-06-11,0.2798,0.2881,0.2481,0.2528,2575598.0,2021-06-11 23:59:59.999000064,706891.8241,2766,1173731.0,325352.5611,0
6,2021-06-12,0.2523,0.2552,0.2322,0.2381,1744726.0,2021-06-12 23:59:59.999000064,422467.53,2560,869166.0,211099.4258,0
7,2021-06-13,0.2393,0.2831,0.2322,0.281,1867133.0,2021-06-13 23:59:59.999000064,482160.5795,3346,903986.0,234087.2653,0
8,2021-06-14,0.2816,0.309,0.2678,0.299,5573110.0,2021-06-14 23:59:59.999000064,1603575.0097,6481,2086363.0,605958.8078,0
9,2021-06-15,0.3008,0.3099,0.281,0.289,4984139.0,2021-06-15 23:59:59.999000064,1484496.2485,4561,1353222.0,397344.9623,0
10,2021-06-16,0.2874,0.2918,0.265,0.2804,2255314.0,2021-06-16 23:59:59.999000064,630118.6905,3378,879966.0,246964.2468,0
11,2021-06-17,0.2798,0.336,0.2796,0.321,6368295.0,2021-06-17 23:59:59.999000064,1956406.112,10858,2818562.0,872095.1033,0
12,2021-06-18,0.3217,0.35,0.2823,0.2939,9948196.0,2021-06-18 23:59:59.999000064,3205047.4081,16384,4232976.0,1369338.3188,0
13,2021-06-19,0.2939,0.3492,0.2825,0.3085,4920961.0,2021-06-19 23:59:59.999000064,1553214.8934,9288,2208017.0,697259.6182,0
14,2021-06-20,0.3078,0.32,0.282,0.3085,3257589.0,2021-06-20 23:59:59.999000064,985456.3141,6922,1581709.0,480231.6642,0
15,2021-06-21,0.3097,0.3111,0.2334,0.2352,3191958.0,2021-06-21 23:59:59.999000064,864843.2814,6854,1263003.0,343066.4405,0
16,2021-06-22,0.2362,0.254,0.1862,0.217,3927861.0,2021-06-22 23:59:59.999000064,851743.8686,5480,1706382.0,370880.4623,0
17,2021-06-23,0.2178,0.267,0.2061,0.2465,2690583.0,2021-06-23 23:59:59.999000064,654951.2486,4634,1607794.0,390696.5027,0
18,2021-06-24,0.2467,0.258,0.2329,0.2414,1465428.0,2021-06-24 23:59:59.999000064,361716.7236,2929,690467.0,170909.0496,0
19,2021-06-25,0.2426,0.26,0.2043,0.2068,2105296.0,2021-06-25 23:59:59.999000064,474885.2325,4330,1075861.0,243699.4385,0
20,2021-06-26,0.2056,0.2222,0.1938,0.2121,1635664.0,2021-06-26 23:59:59.999000064,335459.2578,3648,834529.0,172097.8593,0
21,2021-06-27,0.2129,0.2216,0.2004,0.2179,2500696.0,2021-06-27 23:59:59.999000064,522939.1871,3123,771542.0,161670.1009,0
22,2021-06-28,0.2181,0.24,0.215,0.2258,2740223.0,2021-06-28 23:59:59.999000064,616241.9351,4419,1389291.0,312753.0656,0
23,2021-06-29,0.2262,0.2537,0.2248,0.2355,2664030.0,2021-06-29 23:59:59.999000064,639310.8968,5114,1452926.0,349901.2647,0
24,2021-06-30,0.2359,0.2429,0.2133,0.2414,2750997.0,2021-06-30 23:59:59.999000064,621669.2683,5105,1294510.0,291991.9655,0
25,2021-07-01,0.2417,0.245,0.219,0.2218,2604629.0,2021-07-01 23:59:59.999000064,593348.1777,5099,936064.0,211855.6981,0
26,2021-07-02,0.2216,0.2351,0.2143,0.227,1703984.0,2021-07-02 23:59:59.999000064,380269.5405,3761,864238.0,194317.3688,0
27,2021-07-03,0.2276,0.2399,0.2249,0.2346,926141.0,2021-07-03 23:59:59.999000064,215787.3891,2546,475668.0,110715.3673,0
28,2021-07-04,0.2345,0.2533,0.2272,0.2425,1210068.0,2021-07-04 23:59:59.999000064,293148.6196,3142,542573.0,131911.0592,0
29,2021-07-05,0.2416,0.2458,0.225,0.2298,1038720.0,2021-07-05 23:59:59.999000064,243203.9859,2416,443782.0,104471.0421,0
30,2021-07-06,0.2299,0.2549,0.2299,0.2499,2425893.0,2021-07-06 23:59:59.999000064,596614.287,4736,1025994.0,252460.9424,0
31,2021-07-07,0.2495,0.278,0.2459,0.2581,2677862.0,2021-07-07 23:59:59.999000064,710111.0641,6017,1322814.0,349927.3115,0
32,2021-07-08,0.257,0.26,0.2316,0.2385,1827604.0,2021-07-08 23:59:59.999000064,442790.7873,3742,781979.0,190110.5384,0
33,2021-07-09,0.2379,0.2411,0.224,0.2338,858693.0,2021-07-09 23:59:59.999000064,200230.1312,2792,387632.0,90624.4861,0
34,2021-07-10,0.2347,0.2413,0.2216,0.2255,839665.0,2021-07-10 23:59:59.999000064,193352.7669,2038,306488.0,70657.4038,0
35,2021-07-11,0.2265,0.2488,0.2205,0.2308,895981.0,2021-07-11 23:59:59.999000064,207582.9914,2241,531456.0,123718.4269,0
36,2021-07-12,0.2322,0.2437,0.2189,0.224,1623984.0,2021-07-12 23:59:59.999000064,375572.4496,2814,792412.0,183962.5131,0
37,2021-07-13,0.2239,0.2421,0.215,0.2229,2236777.0,2021-07-13 23:59:59.999000064,498602.6835,3107,1239039.0,275799.2827,0
38,2021-07-14,0.2229,0.2257,0.2062,0.2193,2129838.0,2021-07-14 23:59:59.999000064,463137.971,3169,1212389.0,264961.4634,0
39,2021-07-15,0.2197,0.2233,0.203,0.2117,1879535.0,2021-07-15 23:59:59.999000064,394009.9209,2676,1069868.0,224324.8231,0
40,2021-07-16,0.2117,0.2159,0.1936,0.1936,1306599.0,2021-07-16 23:59:59.999000064,264524.4079,2363,563218.0,114355.0347,0
41,2021-07-17,0.1936,0.1979,0.1883,0.1965,586747.0,2021-07-17 23:59:59.999000064,113039.9315,1350,221351.0,42746.0853,0
42,2021-07-18,0.1958,0.2032,0.1876,0.1906,1193412.0,2021-07-18 23:59:59.999000064,232031.8318,1582,395900.0,76657.1516,0
43,2021-07-19,0.1903,0.1912,0.1682,0.1699,1812437.0,2021-07-19 23:59:59.999000064,318828.5884,2614,825611.0,145853.4632,0
44,2021-07-20,0.1699,0.1733,0.1525,0.1606,2779806.0,2021-07-20 23:59:59.999000064,445503.9234,3569,1324642.0,212692.1074,0
