open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.2093,0.2112,0.2024,0.2031,8953313.0,2022-10-24 23:59:59.999000064,1844074.3121,9951,4362124.0,899425.698,0
2022-10-25,0.203,0.2163,0.2026,0.2113,13834661.0,2022-10-25 23:59:59.999000064,2907264.684,15745,7225438.0,1519593.6107,0
2022-10-26,0.2114,0.2218,0.2109,0.2193,16479708.0,2022-10-26 23:59:59.999000064,3598035.3015,19721,8330154.0,1819093.6328,0
2022-10-27,0.2194,0.2295,0.2144,0.2166,20938619.0,2022-10-27 23:59:59.999000064,4639590.2616,24484,8885983.0,1969872.6976,0
2022-10-28,0.2166,0.2288,0.2113,0.2249,16371116.0,2022-10-28 23:59:59.999000064,3603284.9339,19708,8866190.0,1952981.9865,0
2022-10-29,0.2248,0.234,0.2221,0.2254,19647886.0,2022-10-29 23:59:59.999000064,4477126.6277,25657,10157329.0,2316316.9643,0
2022-10-30,0.2254,0.2471,0.2233,0.2375,38656398.0,2022-10-30 23:59:59.999000064,9148804.7293,46517,20103715.0,4759739.3613,0
2022-10-31,0.2378,0.2487,0.2289,0.239,34403013.0,2022-10-31 23:59:59.999000064,8250597.5744,44973,17174252.0,4122483.5047,0
2022-11-01,0.2391,0.2427,0.2303,0.2307,19074910.0,2022-11-01 23:59:59.999000064,4526345.3339,21448,9349598.0,2221149.0187,0
2022-11-02,0.2306,0.2333,0.2155,0.22,22102688.0,2022-11-02 23:59:59.999000064,4994148.3302,28616,10843747.0,2450285.1588,0
2022-11-03,0.2199,0.2887,0.2184,0.2571,154898537.0,2022-11-03 23:59:59.999000064,41316853.5011,144180,76219074.0,20258600.6304,0
2022-11-04,0.2571,0.2913,0.2548,0.2753,102377493.0,2022-11-04 23:59:59.999000064,27959772.2536,117519,52754906.0,14408510.6792,0
2022-11-05,0.2753,0.315,0.273,0.2882,88046836.0,2022-11-05 23:59:59.999000064,26094175.4615,103571,45023907.0,13337643.352,0
2022-11-06,0.2882,0.292,0.2628,0.2651,33023779.0,2022-11-06 23:59:59.999000064,9303429.6296,46896,15239553.0,4296888.7998,0
2022-11-07,0.265,0.2717,0.2535,0.2623,33128071.0,2022-11-07 23:59:59.999000064,8720467.9657,40676,16666165.0,4393230.5908,0
2022-11-08,0.2624,0.2734,0.18,0.2158,102873725.0,2022-11-08 23:59:59.999000064,23998548.8131,109968,48790063.0,11390390.9229,0
2022-11-09,0.2158,0.2194,0.1665,0.1769,82494734.0,2022-11-09 23:59:59.999000064,16204346.0002,87211,42580905.0,8387776.3956,0
2022-11-10,0.1766,0.2137,0.1727,0.2076,68383680.0,2022-11-10 23:59:59.999000064,13434811.4546,64699,35677146.0,7003057.2538,0
2022-11-11,0.2075,0.2081,0.1837,0.1974,45619287.0,2022-11-11 23:59:59.999000064,8938113.3239,41191,23832823.0,4670403.0059,0
2022-11-12,0.1976,0.1977,0.1822,0.1841,23331102.0,2022-11-12 23:59:59.999000064,4367962.1676,24298,11398752.0,2133011.742,0
2022-11-13,0.184,0.1901,0.1762,0.1802,31353496.0,2022-11-13 23:59:59.999000064,5699414.6853,31314,16600927.0,3018896.7379,0
2022-11-14,0.1802,0.1856,0.1686,0.1814,40027291.0,2022-11-14 23:59:59.999000064,7101745.4758,44022,18546300.0,3289517.407,0
2022-11-15,0.1812,0.1949,0.1794,0.1876,41820742.0,2022-11-15 23:59:59.999000064,7887477.4123,36879,20359325.0,3841906.4079,0
2022-11-16,0.1877,0.2001,0.1786,0.1814,47238796.0,2022-11-16 23:59:59.999000064,8916230.7287,46128,24063307.0,4544980.2155,0
2022-11-17,0.1813,0.1837,0.1752,0.1776,25551600.0,2022-11-17 23:59:59.999000064,4589946.1749,33397,10590849.0,1902826.1089,0
2022-11-18,0.1778,0.1826,0.1764,0.1807,16967079.0,2022-11-18 23:59:59.999000064,3046852.4442,15121,8661061.0,1555971.2084,0
2022-11-19,0.1807,0.1841,0.1758,0.1836,11778693.0,2022-11-19 23:59:59.999000064,2128106.3053,11117,5646851.0,1020956.543,0
2022-11-20,0.1837,0.1875,0.17,0.1714,26662434.0,2022-11-20 23:59:59.999000064,4774567.8629,20804,12501814.0,2236646.0416,0
2022-11-21,0.1713,0.1759,0.1643,0.1689,30675340.0,2022-11-21 23:59:59.999000064,5207064.3746,26369,17131171.0,2911270.1823,0
2022-11-22,0.1691,0.1772,0.164,0.1771,20706467.0,2022-11-22 23:59:59.999000064,3533125.1643,18437,10272808.0,1755376.2025,0
2022-11-23,0.177,0.185,0.1759,0.1844,21348830.0,2022-11-23 23:59:59.999000064,3856778.3443,18374,10413715.0,1882020.9704,0
2022-11-24,0.1843,0.1897,0.1811,0.1843,17265657.0,2022-11-24 23:59:59.999000064,3190842.0261,15303,8507404.0,1569747.378,0
2022-11-25,0.1842,0.1864,0.1777,0.1858,16871448.0,2022-11-25 23:59:59.999000064,3063260.7489,14532,8369810.0,1520519.5585,0
2022-11-26,0.1858,0.1953,0.1834,0.1855,16997005.0,2022-11-26 23:59:59.999000064,3232383.7695,14719,7856910.0,1492331.183,0
2022-11-27,0.1855,0.1945,0.1839,0.1857,14455472.0,2022-11-27 23:59:59.999000064,2741464.9645,12528,7036648.0,1336006.9865,0
2022-11-28,0.1856,0.2077,0.1772,0.2048,60046544.0,2022-11-28 23:59:59.999000064,11711458.379,48523,31030300.0,6064868.5815,0
2022-11-29,0.2047,0.2225,0.1997,0.2174,55947883.0,2022-11-29 23:59:59.999000064,11959564.1836,55156,28447248.0,6078762.3194,0
2022-11-30,0.2174,0.2545,0.2173,0.2444,79110205.0,2022-11-30 23:59:59.999000064,18921938.2717,73536,40281872.0,9636888.914,0
2022-12-01,0.2444,0.262,0.2326,0.2547,66291119.0,2022-12-01 23:59:59.999000064,16464530.0368,63503,32227369.0,8006452.8048,0
2022-12-02,0.2548,0.2553,0.2398,0.2455,37246581.0,2022-12-02 23:59:59.999000064,9177633.7502,35123,17463804.0,4306109.5916,0
2022-12-03,0.2454,0.2579,0.2365,0.2369,43340526.0,2022-12-03 23:59:59.999000064,10695973.3779,38148,22108175.0,5453322.2244,0
2022-12-04,0.2369,0.2445,0.2353,0.2416,29970393.0,2022-12-04 23:59:59.999000064,7216648.0213,25220,14885376.0,3583820.7512,0
2022-12-05,0.2418,0.2592,0.2405,0.252,54341027.0,2022-12-05 23:59:59.999000064,13628666.4082,47866,26522973.0,6655038.2348,0
