,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2021-09-13,0.02109,0.07826,0.02109,0.04725,3487410802.0,2021-09-13 23:59:59.999000064,211365976.11298,626443,1683845296.0,102174551.42128,0
1,2021-09-14,0.04725,0.05386,0.04378,0.04378,953151047.0,2021-09-14 23:59:59.999000064,46588327.7077,143481,466808465.0,22845617.78956,0
2,2021-09-15,0.0438,0.057,0.04301,0.05147,562338725.0,2021-09-15 23:59:59.999000064,26443699.71659,92940,288129257.0,13557302.11253,0
3,2021-09-16,0.05144,0.14769,0.05109,0.10006,7193899514.0,2021-09-16 23:59:59.999000064,750882998.3797,1905745,3624788981.0,377656340.54622,0
4,2021-09-17,0.09991,0.1245,0.08516,0.11663,2441945588.0,2021-09-17 23:59:59.999000064,253990074.82092,675767,1200821322.0,125124589.11645,0
5,2021-09-18,0.11682,0.13819,0.10265,0.11575,2516986032.0,2021-09-18 23:59:59.999000064,302845445.60624,778354,1266150629.0,152716450.14637,0
6,2021-09-19,0.11566,0.1294,0.10755,0.11014,1015340837.0,2021-09-19 23:59:59.999000064,121062066.38705,286332,501639758.0,59884037.82794,0
7,2021-09-20,0.11014,0.11182,0.08607,0.09038,1113085079.0,2021-09-20 23:59:59.999000064,109202764.6499,237161,546162573.0,53562086.36175,0
8,2021-09-21,0.09047,0.114,0.0838,0.09915,1398261514.0,2021-09-21 23:59:59.999000064,142306821.17676,294274,695745199.0,70867758.27486,0
9,2021-09-22,0.09917,0.11145,0.098,0.10784,696506050.0,2021-09-22 23:59:59.999000064,72588717.12887,160632,350893835.0,36599647.4973,0
10,2021-09-23,0.10782,0.12232,0.10602,0.11272,655823464.0,2021-09-23 23:59:59.999000064,74304532.66641,162784,323730985.0,36690338.31859,0
11,2021-09-24,0.11273,0.115,0.09216,0.0972,552526652.0,2021-09-24 23:59:59.999000064,55451413.71967,122412,263532767.0,26386261.25491,0
12,2021-09-25,0.09724,0.10148,0.09042,0.09252,299831997.0,2021-09-25 23:59:59.999000064,28666147.8615,68010,142534468.0,13645060.8602,0
13,2021-09-26,0.09249,0.09784,0.08133,0.088,417734118.0,2021-09-26 23:59:59.999000064,37283849.40569,93353,202067268.0,18060845.00495,0
14,2021-09-27,0.08794,0.09578,0.08405,0.08436,337823075.0,2021-09-27 23:59:59.999000064,30482728.34877,72721,167655537.0,15140286.21222,0
15,2021-09-28,0.08429,0.08754,0.07605,0.07666,199333112.0,2021-09-28 23:59:59.999000064,16338216.52184,37280,91344463.0,7491690.14561,0
16,2021-09-29,0.07672,0.08979,0.07632,0.08352,302884458.0,2021-09-29 23:59:59.999000064,25231719.3574,59064,147395974.0,12284315.37027,0
17,2021-09-30,0.08351,0.10143,0.08205,0.10044,579547208.0,2021-09-30 23:59:59.999000064,53237523.91756,125755,294069414.0,27037623.08212,0
18,2021-10-01,0.10046,0.1069,0.0945,0.10056,569316364.0,2021-10-01 23:59:59.999000064,57117823.81669,149314,275406426.0,27646920.21896,0
19,2021-10-02,0.10057,0.1097,0.1,0.10139,374568821.0,2021-10-02 23:59:59.999000064,39036121.99522,90518,188383417.0,19655760.77142,0
