open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.03406,0.03425,0.03265,0.03306,43458929.0,2022-10-24 23:59:59.999000064,1448565.54188,6617,20853444.0,694937.97562,0
2022-10-25,0.0331,0.03492,0.03296,0.034,69055056.0,2022-10-25 23:59:59.999000064,2345906.91144,9796,33530406.0,1138906.66042,0
2022-10-26,0.034,0.03539,0.03393,0.035,82227762.0,2022-10-26 23:59:59.999000064,2859420.80633,11400,42261445.0,1469586.39262,0
2022-10-27,0.03494,0.03688,0.03419,0.03445,103074930.0,2022-10-27 23:59:59.999000064,3658857.65244,14442,49730223.0,1766664.81952,0
2022-10-28,0.03446,0.03578,0.03375,0.03519,67593231.0,2022-10-28 23:59:59.999000064,2343559.24394,9867,32984159.0,1143175.20966,0
2022-10-29,0.03524,0.03785,0.03518,0.03661,144409467.0,2022-10-29 23:59:59.999000064,5247445.41615,20397,72291315.0,2625850.40756,0
2022-10-30,0.03662,0.04902,0.03632,0.04389,1390754277.0,2022-10-30 23:59:59.999000064,62057651.91869,215299,684669103.0,30547543.51064,0
2022-10-31,0.0439,0.04436,0.04052,0.04198,379444342.0,2022-10-31 23:59:59.999000064,15995087.34221,51029,188403639.0,7943961.2868,0
2022-11-01,0.04198,0.04399,0.03959,0.03985,260121018.0,2022-11-01 23:59:59.999000064,10905862.1082,36486,125758117.0,5275714.58618,0
2022-11-02,0.03987,0.04103,0.03744,0.03832,213410384.0,2022-11-02 23:59:59.999000064,8422148.26375,30126,99779192.0,3939476.80859,0
2022-11-03,0.0383,0.04073,0.02694,0.03323,1179470016.0,2022-11-03 23:59:59.999000064,38921380.74052,119363,565482035.0,18708111.85741,0
2022-11-04,0.03325,0.03999,0.03155,0.03861,1495878362.0,2022-11-04 23:59:59.999000064,53251879.64427,168543,745889184.0,26547002.45062,0
2022-11-05,0.03861,0.04392,0.03737,0.03863,1026673106.0,2022-11-05 23:59:59.999000064,41507030.82805,122187,507871222.0,20556373.00493,0
2022-11-06,0.03862,0.03996,0.03544,0.03588,375676421.0,2022-11-06 23:59:59.999000064,14400518.89355,47159,178757648.0,6857043.62784,0
2022-11-07,0.03591,0.03759,0.03522,0.03611,247691943.0,2022-11-07 23:59:59.999000064,9050443.9347,27640,125481183.0,4592526.05176,0
2022-11-08,0.03611,0.03667,0.03,0.03275,545168111.0,2022-11-08 23:59:59.999000064,18444944.25916,70038,268441202.0,9084027.69432,0
2022-11-09,0.03277,0.03284,0.0248,0.02563,759593040.0,2022-11-09 23:59:59.999000064,21719574.3864,89159,371852368.0,10627864.35807,0
2022-11-10,0.02564,0.033,0.02514,0.03162,454013072.0,2022-11-10 23:59:59.999000064,13459948.45337,55762,235202180.0,6960358.85537,0
2022-11-11,0.03159,0.033,0.02959,0.03197,309325075.0,2022-11-11 23:59:59.999000064,9734605.64807,38170,160286687.0,5051198.09063,0
2022-11-12,0.032,0.03211,0.02913,0.02947,209192320.0,2022-11-12 23:59:59.999000064,6316331.10771,26699,101815567.0,3075612.00831,0
2022-11-13,0.02948,0.03246,0.02888,0.0294,346966391.0,2022-11-13 23:59:59.999000064,10487483.39792,43264,174458509.0,5271583.69044,0
2022-11-14,0.0294,0.03063,0.02763,0.02961,249578720.0,2022-11-14 23:59:59.999000064,7272646.69819,35319,122976640.0,3585228.05616,0
2022-11-15,0.02961,0.0303,0.029,0.02928,189186179.0,2022-11-15 23:59:59.999000064,5588568.8595,24644,98654408.0,2915651.86501,0
2022-11-16,0.02929,0.02963,0.02783,0.02816,133141391.0,2022-11-16 23:59:59.999000064,3829237.97408,16629,68496520.0,1970652.17168,0
2022-11-17,0.02817,0.02839,0.02688,0.02735,110897450.0,2022-11-17 23:59:59.999000064,3058691.61176,13874,61287663.0,1690808.0667,0
2022-11-18,0.02734,0.0279,0.02703,0.02748,79657214.0,2022-11-18 23:59:59.999000064,2192995.9596,9663,40692827.0,1120876.06599,0
2022-11-19,0.02748,0.02806,0.02656,0.02759,140038027.0,2022-11-19 23:59:59.999000064,3838587.07944,16540,66399880.0,1821283.60465,0
2022-11-20,0.02756,0.02789,0.02541,0.02572,155177425.0,2022-11-20 23:59:59.999000064,4175594.61613,18776,77820115.0,2095214.7103,0
2022-11-21,0.0257,0.026,0.02391,0.02465,332146900.0,2022-11-21 23:59:59.999000064,8330642.29667,30304,183590456.0,4612339.46558,0
2022-11-22,0.02466,0.02549,0.0238,0.02547,170445952.0,2022-11-22 23:59:59.999000064,4229283.5586,18235,84858447.0,2104953.9914,0
2022-11-23,0.02548,0.02624,0.02494,0.02596,149932947.0,2022-11-23 23:59:59.999000064,3844893.25921,15758,76290545.0,1955715.28296,0
2022-11-24,0.02596,0.02621,0.02507,0.02532,133842375.0,2022-11-24 23:59:59.999000064,3414257.08978,14587,68797450.0,1753442.69131,0
2022-11-25,0.02532,0.02535,0.02451,0.02503,116859461.0,2022-11-25 23:59:59.999000064,2909747.2535,11768,56672134.0,1411348.35536,0
2022-11-26,0.02505,0.02594,0.02486,0.02508,159551569.0,2022-11-26 23:59:59.999000064,4061747.37743,14838,80287739.0,2044108.75041,0
2022-11-27,0.02508,0.02606,0.02503,0.0253,123780452.0,2022-11-27 23:59:59.999000064,3173161.17073,12598,62954390.0,1614388.37825,0
2022-11-28,0.02529,0.02558,0.02388,0.02479,126158108.0,2022-11-28 23:59:59.999000064,3095824.41801,13642,58458134.0,1433188.19096,0
2022-11-29,0.02479,0.02553,0.02446,0.02526,135462543.0,2022-11-29 23:59:59.999000064,3405335.73491,11130,78366646.0,1972420.64022,0
2022-11-30,0.02527,0.02779,0.02524,0.02593,220745671.0,2022-11-30 23:59:59.999000064,5835380.45374,26382,109172528.0,2888498.23576,0
2022-12-01,0.02594,0.02635,0.02501,0.02527,127381208.0,2022-12-01 23:59:59.999000064,3252415.0969,15695,61156349.0,1561783.10897,0
2022-12-02,0.02527,0.02568,0.02457,0.02556,141512051.0,2022-12-02 23:59:59.999000064,3549815.59872,13418,69501351.0,1744447.92529,0
2022-12-03,0.02557,0.0258,0.02472,0.02491,120715641.0,2022-12-03 23:59:59.999000064,3044620.21341,9909,63706513.0,1605135.63933,0
2022-12-04,0.0249,0.02528,0.02463,0.02518,91023085.0,2022-12-04 23:59:59.999000064,2268810.12382,9568,45602813.0,1137270.6696,0
2022-12-05,0.02518,0.02705,0.02504,0.02587,252914236.0,2022-12-05 23:59:59.999000064,6552994.9393,24998,124583600.0,3229644.98751,0
2022-12-06,0.02587,0.02813,0.02574,0.02707,440568392.0,2022-12-06 23:59:59.999000064,11863851.07694,46532,224058490.0,6039618.04811,0
2022-12-07,0.02708,0.02719,0.02506,0.02562,184186165.0,2022-12-07 23:59:59.999000064,4762654.40199,17480,89988383.0,2323387.92931,0
2022-12-08,0.02564,0.02655,0.02492,0.02643,141293884.0,2022-12-08 23:59:59.999000064,3634868.02871,14421,66755728.0,1718593.8003,0
2022-12-09,0.02644,0.02657,0.02561,0.02578,93020287.0,2022-12-09 23:59:59.999000064,2429100.70252,9211,42643131.0,1113571.00969,0
2022-12-10,0.02581,0.02583,0.02543,0.02556,59186436.0,2022-12-10 23:59:59.999000064,1515989.29855,5683,26712216.0,684261.36825,0
2022-12-11,0.02556,0.02586,0.02503,0.0252,70666007.0,2022-12-11 23:59:59.999000064,1805923.2448,6645,31842641.0,814142.43199,0
2022-12-12,0.02518,0.02548,0.02385,0.02519,134496656.0,2022-12-12 23:59:59.999000064,3320753.15973,11772,63874520.0,1577194.0448,0
2022-12-13,0.02523,0.02553,0.02405,0.02521,133855295.0,2022-12-13 23:59:59.999000064,3329307.26898,12478,66076387.0,1643584.65165,0
2022-12-14,0.02522,0.02552,0.02403,0.0244,124098765.0,2022-12-14 23:59:59.999000064,3100617.5626,11313,58130145.0,1454198.88446,0
2022-12-15,0.0244,0.02445,0.02358,0.02404,96067128.0,2022-12-15 23:59:59.999000064,2316345.81801,9076,45580477.0,1099687.92346,0
2022-12-16,0.02403,0.02433,0.02,0.02037,252547664.0,2022-12-16 23:59:59.999000064,5586146.08589,24114,116265910.0,2571227.49087,0
2022-12-17,0.02035,0.02099,0.01988,0.0207,203191071.0,2022-12-17 23:59:59.999000064,4173055.91419,18488,99461926.0,2042666.2465,0
2022-12-18,0.02071,0.02082,0.02015,0.02029,84131067.0,2022-12-18 23:59:59.999000064,1721803.4585,7390,40372955.0,826052.50027,0
2022-12-19,0.0203,0.02076,0.01786,0.01848,303151234.0,2022-12-19 23:59:59.999000064,5901683.43609,23849,141551985.0,2757435.66464,0
2022-12-20,0.0185,0.01986,0.0185,0.01942,142883194.0,2022-12-20 23:59:59.999000064,2773760.81328,12902,67435424.0,1308477.06781,0
2022-12-21,0.01942,0.0195,0.01844,0.01901,99282355.0,2022-12-21 23:59:59.999000064,1881234.04833,9445,50571984.0,958122.17326,0
2022-12-22,0.019,0.01926,0.01818,0.01897,131410675.0,2022-12-22 23:59:59.999000064,2475051.08235,11347,61330108.0,1154319.3158,0
2022-12-23,0.01897,0.01938,0.01864,0.01893,109244820.0,2022-12-23 23:59:59.999000064,2065889.27563,9456,52180445.0,986938.72291,0
2022-12-24,0.01891,0.01906,0.01856,0.01872,59946532.0,2022-12-24 23:59:59.999000064,1123807.87976,5352,29223859.0,548192.59829,0
2022-12-25,0.01872,0.0188,0.01795,0.0184,79193727.0,2022-12-25 23:59:59.999000064,1456413.35825,7936,35017828.0,644471.2344,0
2022-12-26,0.0184,0.01868,0.018,0.0183,86980424.0,2022-12-26 23:59:59.999000064,1600112.44723,8422,42035313.0,773543.92124,0
2022-12-27,0.0183,0.01844,0.01757,0.01781,95793105.0,2022-12-27 23:59:59.999000064,1725375.99031,7332,46040502.0,829337.42588,0
2022-12-28,0.01781,0.01783,0.01654,0.01687,163312446.0,2022-12-28 23:59:59.999000064,2764499.84423,12973,74512393.0,1260600.64528,0
