,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2021-05-11,249.26,1500.0,249.26,364.93,261456.31,2021-05-11 23:59:59.999000064,112927284.6074,179900,143981.06,62529096.4465,0
1,2021-05-12,367.1,388.46,254.52,257.11,162867.02,2021-05-12 23:59:59.999000064,53166371.3316,95120,82822.71,27067749.4948,0
2,2021-05-13,256.35,346.88,251.57,302.06,118934.58,2021-05-13 23:59:59.999000064,35716368.9592,63796,64152.08,19275347.6913,0
3,2021-05-14,301.0,343.49,291.0,304.15,62094.72,2021-05-14 23:59:59.999000064,19780783.343,34993,32046.75,10232472.3381,0
4,2021-05-15,304.15,308.05,240.12,245.59,62081.41,2021-05-15 23:59:59.999000064,16881141.0426,27459,25325.28,6871521.0158,0
5,2021-05-16,245.99,263.7,205.02,224.75,70339.23,2021-05-16 23:59:59.999000064,16812612.3099,25929,35516.47,8503676.6656,0
6,2021-05-17,225.36,225.49,184.73,195.9,89830.71,2021-05-17 23:59:59.999000064,18458437.7753,26341,48276.68,9916420.4184,0
7,2021-05-18,195.53,205.95,160.51,163.76,101275.34,2021-05-18 23:59:59.999000064,18295743.5292,27714,54713.67,9846707.2671,0
8,2021-05-19,163.71,179.33,89.0,123.07,194122.15,2021-05-19 23:59:59.999000064,26715223.4156,46032,95217.18,13115889.0716,0
9,2021-05-20,123.37,232.0,103.86,164.56,533650.35,2021-05-20 23:59:59.999000064,92528048.723,142681,270629.17,47016090.0989,0
10,2021-05-21,164.81,187.0,120.02,146.0,195724.18,2021-05-21 23:59:59.999000064,31168893.9689,61245,100478.59,16049730.4818,0
11,2021-05-22,145.96,169.13,125.06,146.27,133156.52,2021-05-22 23:59:59.999000064,19150372.8182,35747,67912.5,9770542.7263,0
12,2021-05-23,146.1,165.57,121.0,144.17,158475.45,2021-05-23 23:59:59.999000064,22231915.9189,43325,80304.18,11275916.6575,0
13,2021-05-24,144.16,163.73,135.72,147.68,119133.74,2021-05-24 23:59:59.999000064,17594068.4727,36157,59856.58,8842074.7432,0
14,2021-05-25,147.7,157.23,123.47,134.28,119134.52,2021-05-25 23:59:59.999000064,16410918.9547,35228,51734.23,7143720.1463,0
15,2021-05-26,134.35,152.44,132.11,142.78,123289.31,2021-05-26 23:59:59.999000064,17448129.802,29996,69269.98,9804665.2767,0
16,2021-05-27,142.91,145.94,129.84,132.45,59775.06,2021-05-27 23:59:59.999000064,8129361.3455,18877,32812.4,4476903.1244,0
17,2021-05-28,132.46,132.99,110.2,115.66,83006.0,2021-05-28 23:59:59.999000064,9974132.5118,26818,37483.79,4497864.8175,0
18,2021-05-29,115.6,119.8,105.62,110.77,40604.16,2021-05-29 23:59:59.999000064,4554044.2988,12164,20433.58,2290973.4434,0
19,2021-05-30,110.42,118.76,104.53,112.01,44134.09,2021-05-30 23:59:59.999000064,4932907.4604,9948,22681.02,2541843.8226,0
20,2021-05-31,111.83,115.37,105.44,114.82,55248.85,2021-05-31 23:59:59.999000064,6127089.4225,11421,28856.74,3203658.9103,0
21,2021-06-01,114.91,117.1,106.5,107.57,48718.37,2021-06-01 23:59:59.999000064,5397876.9343,12238,25456.68,2822683.2392,0
22,2021-06-02,107.57,113.0,102.09,107.97,81585.1,2021-06-02 23:59:59.999000064,8718062.0464,16069,41892.91,4478174.5812,0
23,2021-06-03,107.47,136.58,105.27,124.5,176795.9,2021-06-03 23:59:59.999000064,21513689.3893,33744,95340.66,11615778.318,0
24,2021-06-04,124.52,124.68,105.33,108.75,147586.51,2021-06-04 23:59:59.999000064,16784283.4871,31468,69452.93,7904173.8142,0
25,2021-06-05,109.0,116.16,100.0,104.71,85975.82,2021-06-05 23:59:59.999000064,9306180.3526,16895,37455.52,4069726.4227,0
26,2021-06-06,104.56,109.95,102.61,104.61,55091.54,2021-06-06 23:59:59.999000064,5825292.6297,10006,28127.97,2974252.0701,0
27,2021-06-07,104.56,107.29,88.95,91.45,81693.87,2021-06-07 23:59:59.999000064,8159694.7004,16366,39542.61,3967694.8982,0
28,2021-06-08,91.17,94.37,76.83,81.51,127096.78,2021-06-08 23:59:59.999000064,10854284.6553,20796,67664.23,5752783.6438,0
29,2021-06-09,81.4,88.99,77.2,81.57,136091.62,2021-06-09 23:59:59.999000064,11178783.3971,18006,75420.55,6203090.904,0
30,2021-06-10,81.62,83.73,65.73,66.6,254492.44,2021-06-10 23:59:59.999000064,18466371.6809,31426,129795.92,9413310.6868,0
31,2021-06-11,66.6,72.39,56.16,58.33,284233.83,2021-06-11 23:59:59.999000064,18536392.0856,29177,145178.88,9488586.1092,0
32,2021-06-12,58.48,67.9,52.95,61.1,254181.85,2021-06-12 23:59:59.999000064,15018464.0601,26642,124351.91,7371299.0394,0
33,2021-06-13,61.1,66.5,57.2,64.38,222283.67,2021-06-13 23:59:59.999000064,13721213.5456,23310,105937.41,6533117.7878,0
34,2021-06-14,64.51,70.78,61.94,66.72,174675.05,2021-06-14 23:59:59.999000064,11536529.0012,19941,89093.44,5886841.7763,0
35,2021-06-15,66.78,68.91,58.65,60.4,201366.1,2021-06-15 23:59:59.999000064,12644832.2865,22659,91298.32,5727699.5677,0
36,2021-06-16,60.35,60.4,54.62,55.31,117759.72,2021-06-16 23:59:59.999000064,6718897.0129,15467,55454.87,3167178.3855,0
37,2021-06-17,55.26,60.14,51.13,54.13,131045.67,2021-06-17 23:59:59.999000064,7189874.446,16020,62335.68,3426089.3444,0
38,2021-06-18,54.1,55.47,46.99,48.42,109888.85,2021-06-18 23:59:59.999000064,5570036.3141,14534,51755.37,2626547.0895,0
39,2021-06-19,48.43,54.91,46.35,48.68,186321.6,2021-06-19 23:59:59.999000064,9496739.9992,20074,85847.91,4384835.4054,0
40,2021-06-20,48.62,50.7,44.12,47.11,123566.43,2021-06-20 23:59:59.999000064,5849676.1617,14815,61311.56,2905996.9354,0
41,2021-06-21,47.15,47.58,36.19,36.72,182949.8,2021-06-21 23:59:59.999000064,7439640.6773,18275,81216.17,3324896.6173,0
42,2021-06-22,36.83,40.12,31.85,34.51,181374.32,2021-06-22 23:59:59.999000064,6505545.3929,17441,92719.42,3329167.9695,0
43,2021-06-23,34.49,40.91,32.9,37.72,182943.93,2021-06-23 23:59:59.999000064,6935589.9052,17136,85898.5,3259053.0997,0
44,2021-06-24,37.73,38.89,33.18,34.65,238417.12,2021-06-24 23:59:59.999000064,8537903.3262,19519,105683.05,3798637.4712,0
45,2021-06-25,34.61,36.67,30.69,31.09,173812.51,2021-06-25 23:59:59.999000064,5836290.0563,19340,84098.75,2830048.3633,0
46,2021-06-26,31.13,33.73,28.29,30.29,200770.78,2021-06-26 23:59:59.999000064,6009405.6705,15482,102355.9,3065965.4845,0
47,2021-06-27,30.29,45.32,29.48,43.03,656833.25,2021-06-27 23:59:59.999000064,24122525.9482,54716,329718.83,12096295.1582,0
48,2021-06-28,43.02,52.0,40.51,51.5,798389.5,2021-06-28 23:59:59.999000064,35422812.0012,70868,398286.49,17723395.2081,0
49,2021-06-29,51.34,59.49,46.77,54.22,746169.6,2021-06-29 23:59:59.999000064,38750078.7456,68109,360342.58,18733687.4049,0
50,2021-06-30,54.22,54.72,43.19,49.97,699333.71,2021-06-30 23:59:59.999000064,33807043.1075,64580,345129.65,16665938.6034,0
51,2021-07-01,49.91,50.78,44.21,45.77,396112.45,2021-07-01 23:59:59.999000064,18467012.7317,37217,191463.85,8932666.2836,0
52,2021-07-02,45.65,47.46,41.44,43.87,251280.85,2021-07-02 23:59:59.999000064,10861790.3707,22325,124567.97,5390219.2274,0
53,2021-07-03,43.95,50.0,42.72,48.76,350135.94,2021-07-03 23:59:59.999000064,16404334.6416,27738,181047.8,8476288.1828,0
54,2021-07-04,48.75,50.95,46.43,46.75,253146.28,2021-07-04 23:59:59.999000064,12321737.8795,25773,121399.43,5916642.3949,0
55,2021-07-05,46.7,48.04,44.01,46.28,226061.15,2021-07-05 23:59:59.999000064,10372672.2647,22681,107872.39,4951140.8909,0
56,2021-07-06,46.36,48.37,45.0,46.23,202232.29,2021-07-06 23:59:59.999000064,9426904.0359,17739,95228.39,4442890.8246,0
57,2021-07-07,46.25,47.94,45.0,45.43,153504.78,2021-07-07 23:59:59.999000064,7142017.3343,13000,78549.31,3653844.112,0
58,2021-07-08,45.36,45.51,39.21,40.35,196590.51,2021-07-08 23:59:59.999000064,8217384.5273,15830,100649.67,4201047.961,0
59,2021-07-09,40.24,42.57,37.31,40.6,160719.11,2021-07-09 23:59:59.999000064,6429082.527,12850,87617.24,3509121.0832,0
60,2021-07-10,40.62,42.12,37.65,38.63,133084.28,2021-07-10 23:59:59.999000064,5261861.3227,10626,66552.29,2637087.8976,0
61,2021-07-11,38.63,41.44,37.77,39.6,131734.05,2021-07-11 23:59:59.999000064,5247677.6755,9970,63963.42,2548281.2641,0
62,2021-07-12,39.76,40.99,35.94,37.21,134434.14,2021-07-12 23:59:59.999000064,5197158.8084,9467,62017.18,2397257.6905,0
63,2021-07-13,37.21,39.93,35.32,38.94,176100.31,2021-07-13 23:59:59.999000064,6600444.5788,13846,89145.43,3343759.6918,0
64,2021-07-14,39.02,39.82,35.21,36.88,250546.61,2021-07-14 23:59:59.999000064,9416144.2326,17710,125834.95,4734813.7958,0
