,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2022-01-10,3.752,4.33,3.424,3.781,292300.59,2022-01-10 23:59:59.999000064,1101499.32364,2774,116014.7,439903.52057,0
1,2022-01-11,3.796,3.89,3.32,3.6,477957.44,2022-01-11 23:59:59.999000064,1679322.91348,3636,261799.87,916567.70669,0
2,2022-01-12,3.598,3.841,3.525,3.718,437889.45,2022-01-12 23:59:59.999000064,1617313.38917,3141,233656.28,861234.21114,0
3,2022-01-13,3.718,3.781,3.5,3.503,345487.75,2022-01-13 23:59:59.999000064,1251068.72935,2687,177153.19,640912.24154,0
4,2022-01-14,3.521,3.647,3.481,3.561,268955.25,2022-01-14 23:59:59.999000064,955368.29374,1654,183071.95,650978.76953,0
5,2022-01-15,3.562,3.708,3.531,3.624,246739.6,2022-01-15 23:59:59.999000064,890195.15368,1675,134518.95,486147.20869,0
6,2022-01-16,3.617,4.718,3.613,4.159,1785137.36,2022-01-16 23:59:59.999000064,7458579.58645,21470,843637.63,3518581.5327,0
7,2022-01-17,4.159,4.285,3.687,3.765,525295.94,2022-01-17 23:59:59.999000064,2094640.61452,5287,247976.99,989444.14768,0
8,2022-01-18,3.77,3.845,3.507,3.734,314701.04,2022-01-18 23:59:59.999000064,1148559.8846,3078,150005.4,548681.80272,0
9,2022-01-19,3.734,3.804,3.5,3.566,189855.1,2022-01-19 23:59:59.999000064,688228.15159,1798,96738.25,351371.51897,0
10,2022-01-20,3.571,3.754,3.349,3.354,300224.64,2022-01-20 23:59:59.999000064,1069038.23607,2418,124302.69,444106.5552,0
11,2022-01-21,3.36,3.427,2.656,2.71,727272.78,2022-01-21 23:59:59.999000064,2227093.71096,5634,368669.1,1126317.04457,0
12,2022-01-22,2.703,2.906,1.973,2.463,1443637.9,2022-01-22 23:59:59.999000064,3450463.84366,8764,748114.92,1811209.18637,0
13,2022-01-23,2.452,2.598,2.25,2.502,496698.92,2022-01-23 23:59:59.999000064,1201341.91555,3896,250168.73,607007.46515,0
14,2022-01-24,2.505,2.505,2.008,2.319,654278.28,2022-01-24 23:59:59.999000064,1428434.49601,4653,340934.68,745261.15693,0
15,2022-01-25,2.327,2.462,2.193,2.356,247211.1,2022-01-25 23:59:59.999000064,574262.73418,2324,139393.12,324176.63153,0
16,2022-01-26,2.356,3.33,2.307,3.004,1654247.53,2022-01-26 23:59:59.999000064,4733691.12877,13254,815618.79,2336598.19383,0
17,2022-01-27,3.004,3.081,2.498,2.651,1147591.59,2022-01-27 23:59:59.999000064,3140540.61254,9043,493989.05,1353932.49716,0
18,2022-01-28,2.654,2.886,2.463,2.827,509085.0,2022-01-28 23:59:59.999000064,1368830.06802,4162,242855.32,655903.91701,0
19,2022-01-29,2.815,2.937,2.661,2.827,473830.93,2022-01-29 23:59:59.999000064,1330795.35493,3762,227705.41,640724.36103,0
20,2022-01-30,2.821,2.845,2.49,2.565,301088.2,2022-01-30 23:59:59.999000064,803018.90688,2857,123184.44,329548.24396,0
21,2022-01-31,2.589,2.756,2.466,2.703,271773.36,2022-01-31 23:59:59.999000064,704947.23319,2250,156726.79,407171.95518,0
22,2022-02-01,2.701,3.029,2.678,2.882,386463.08,2022-02-01 23:59:59.999000064,1108386.9744,2561,219379.19,626651.31676,0
23,2022-02-02,2.878,3.192,2.765,3.023,607680.09,2022-02-02 23:59:59.999000064,1801552.9438,5811,277482.09,823840.44319,0
24,2022-02-03,3.031,4.285,3.014,3.378,5622167.73,2022-02-03 23:59:59.999000064,20898050.84194,50166,2769914.58,10253540.85389,0
25,2022-02-04,3.384,3.455,2.754,2.995,3720583.45,2022-02-04 23:59:59.999000064,11137868.23788,21852,1621010.89,4854987.10049,0
26,2022-02-05,2.998,3.2,2.801,2.88,2126110.49,2022-02-05 23:59:59.999000064,6342008.27629,11694,1023121.39,3057895.73961,0
27,2022-02-06,2.88,2.986,2.723,2.825,1341648.32,2022-02-06 23:59:59.999000064,3822774.23891,6488,691008.16,1974787.33268,0
28,2022-02-07,2.824,3.075,2.757,2.857,1306235.96,2022-02-07 23:59:59.999000064,3781352.2525,8321,646220.45,1868807.54662,0
29,2022-02-08,2.862,3.821,2.61,2.782,2709309.27,2022-02-08 23:59:59.999000064,8321750.76465,16211,1258661.64,3879698.3628,0
30,2022-02-09,2.782,2.903,2.642,2.823,815416.42,2022-02-09 23:59:59.999000064,2262101.76728,4912,402950.41,1120500.22471,0
31,2022-02-10,2.823,2.868,2.56,2.603,851520.85,2022-02-10 23:59:59.999000064,2316460.82392,5675,409619.51,1116852.3039,0
32,2022-02-11,2.605,2.709,2.226,2.305,825353.37,2022-02-11 23:59:59.999000064,2068681.29138,5366,391165.91,984018.49143,0
33,2022-02-12,2.301,2.379,2.206,2.299,758422.9,2022-02-12 23:59:59.999000064,1729346.36202,3769,358736.57,819639.18068,0
34,2022-02-13,2.304,2.474,2.249,2.291,1126165.53,2022-02-13 23:59:59.999000064,2647090.45594,5752,510498.52,1203080.72994,0
35,2022-02-14,2.292,2.35,2.168,2.291,709363.05,2022-02-14 23:59:59.999000064,1604895.69237,3419,345104.31,782441.81545,0
36,2022-02-15,2.3,2.492,2.278,2.484,657460.72,2022-02-15 23:59:59.999000064,1590782.10091,3672,336716.94,814917.76565,0
37,2022-02-16,2.476,2.506,2.328,2.389,633660.51,2022-02-16 23:59:59.999000064,1527065.01437,3280,321721.16,775380.37542,0
38,2022-02-17,2.4,2.418,2.107,2.129,522434.95,2022-02-17 23:59:59.999000064,1183949.10082,3275,244000.73,552426.6409,0
