open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.566,0.574,0.538,0.539,544157.45,2022-10-24 23:59:59.999000064,302768.34104,2259,215132.58,119477.07814,0
2022-10-25,0.54,0.58,0.528,0.564,1174887.47,2022-10-25 23:59:59.999000064,649725.84615,3333,585272.92,324282.47634,0
2022-10-26,0.565,0.583,0.559,0.564,1345123.17,2022-10-26 23:59:59.999000064,768855.35822,3620,587472.9,336085.90641,0
2022-10-27,0.567,0.642,0.565,0.591,4007961.94,2022-10-27 23:59:59.999000064,2436006.33441,9827,1886109.21,1149187.27109,0
2022-10-28,0.591,0.657,0.57,0.645,3001742.33,2022-10-28 23:59:59.999000064,1842067.848,6332,1515835.77,930076.09507,0
2022-10-29,0.647,0.677,0.619,0.626,3137913.91,2022-10-29 23:59:59.999000064,2041140.92554,6031,1637249.59,1066129.65153,0
2022-10-30,0.628,0.659,0.604,0.613,1673163.21,2022-10-30 23:59:59.999000064,1060627.94942,3740,852451.65,539861.37475,0
2022-10-31,0.613,0.62,0.57,0.595,1870555.25,2022-10-31 23:59:59.999000064,1107971.65438,5050,824750.64,489305.44487,0
2022-11-01,0.594,0.606,0.579,0.586,1482113.5,2022-11-01 23:59:59.999000064,875691.43777,3163,619835.98,366706.8377,0
2022-11-02,0.584,0.602,0.557,0.575,1373998.27,2022-11-02 23:59:59.999000064,799087.79977,4965,681324.82,397460.57995,0
2022-11-03,0.575,0.64,0.573,0.591,2780588.71,2022-11-03 23:59:59.999000064,1694594.82561,5688,1353134.98,824662.40946,0
2022-11-04,0.592,0.72,0.583,0.664,6397740.77,2022-11-04 23:59:59.999000064,4242506.80995,14194,3159129.26,2087085.98627,0
2022-11-05,0.664,0.726,0.649,0.661,5486160.66,2022-11-05 23:59:59.999000064,3774593.71213,11038,2742280.52,1888448.76361,0
2022-11-06,0.664,0.673,0.597,0.601,4158997.38,2022-11-06 23:59:59.999000064,2660576.39921,8533,1802344.89,1152542.98383,0
2022-11-07,0.598,0.613,0.571,0.588,3030660.78,2022-11-07 23:59:59.999000064,1792360.95768,5796,1582162.55,937355.73794,0
2022-11-08,0.585,0.62,0.443,0.52,8662846.8,2022-11-08 23:59:59.999000064,4701955.8214,20403,4272603.54,2330113.33962,0
2022-11-09,0.521,0.529,0.385,0.403,6416782.64,2022-11-09 23:59:59.999000064,2951790.87253,13422,3450342.62,1588516.783,0
2022-11-10,0.402,0.513,0.395,0.494,9766392.3,2022-11-10 23:59:59.999000064,4597286.16338,19028,5713536.28,2680044.68461,0
2022-11-11,0.495,0.498,0.429,0.443,4502323.62,2022-11-11 23:59:59.999000064,2042991.4677,7928,2426000.4,1099651.11203,0
2022-11-12,0.444,0.445,0.389,0.408,4640405.15,2022-11-12 23:59:59.999000064,1892266.88216,6263,1610101.21,659731.28633,0
2022-11-13,0.408,0.426,0.395,0.417,1571615.75,2022-11-13 23:59:59.999000064,648348.38628,3259,820256.42,339473.24596,0
2022-11-14,0.417,0.439,0.389,0.428,2215832.39,2022-11-14 23:59:59.999000064,921173.81674,4176,1123300.04,467319.14734,0
2022-11-15,0.428,0.439,0.418,0.425,1111662.42,2022-11-15 23:59:59.999000064,476887.62107,2138,569808.86,245155.3553,0
2022-11-16,0.425,0.433,0.4,0.41,865792.54,2022-11-16 23:59:59.999000064,357095.50092,2173,440171.28,181441.86334,0
2022-11-17,0.409,0.416,0.401,0.404,725592.49,2022-11-17 23:59:59.999000064,296165.64912,2457,307964.22,125651.69131,0
2022-11-18,0.403,0.417,0.4,0.406,748247.89,2022-11-18 23:59:59.999000064,305992.49819,1417,475150.02,194592.46211,0
2022-11-19,0.406,0.431,0.396,0.421,702852.34,2022-11-19 23:59:59.999000064,289726.47701,1795,433939.54,179485.50467,0
2022-11-20,0.422,0.426,0.39,0.392,860655.61,2022-11-20 23:59:59.999000064,351177.56036,2027,365302.89,149223.32842,0
2022-11-21,0.393,0.477,0.377,0.415,3953958.9,2022-11-21 23:59:59.999000064,1685142.86216,10865,1880585.87,800965.97014,0
2022-11-22,0.415,0.44,0.388,0.43,1668115.66,2022-11-22 23:59:59.999000064,691549.22313,4065,820267.91,341478.48369,0
2022-11-23,0.43,0.453,0.426,0.452,1116528.53,2022-11-23 23:59:59.999000064,491050.07389,2980,576088.44,253463.55416,0
2022-11-24,0.45,0.457,0.429,0.433,633521.17,2022-11-24 23:59:59.999000064,279451.83588,2183,282773.03,124963.66212,0
2022-11-25,0.432,0.437,0.409,0.419,618716.14,2022-11-25 23:59:59.999000064,258842.19538,1195,261985.22,109584.81227,0
2022-11-26,0.421,0.448,0.42,0.425,886775.44,2022-11-26 23:59:59.999000064,388025.17385,2103,409001.41,179075.74917,0
2022-11-27,0.426,0.459,0.425,0.442,748858.44,2022-11-27 23:59:59.999000064,330043.19883,2856,378083.45,166840.33905,0
2022-11-28,0.443,0.449,0.405,0.42,933641.99,2022-11-28 23:59:59.999000064,391113.42034,3079,419645.37,175680.13299,0
2022-11-29,0.42,0.45,0.414,0.44,542752.88,2022-11-29 23:59:59.999000064,237668.20461,2757,269771.82,118174.97536,0
2022-11-30,0.44,0.479,0.44,0.47,1499848.35,2022-11-30 23:59:59.999000064,697426.99249,4024,727717.3,337722.50472,0
2022-12-01,0.472,0.479,0.464,0.472,971291.73,2022-12-01 23:59:59.999000064,457180.55146,1973,490624.71,231208.51331,0
2022-12-02,0.471,0.485,0.46,0.484,590858.17,2022-12-02 23:59:59.999000064,280427.90137,1986,310563.44,147642.2475,0
2022-12-03,0.482,0.484,0.47,0.476,428196.78,2022-12-03 23:59:59.999000064,204349.1139,1299,197607.65,94485.34419,0
2022-12-04,0.474,0.514,0.472,0.504,1976803.6,2022-12-04 23:59:59.999000064,986773.63802,6162,962185.03,480423.09889,0
2022-12-05,0.503,0.519,0.48,0.487,1005004.69,2022-12-05 23:59:59.999000064,502466.82864,3082,435409.33,218417.6609,0
2022-12-06,0.487,0.494,0.475,0.486,873737.92,2022-12-06 23:59:59.999000064,424297.64925,1691,443277.52,215415.2874,0
2022-12-07,0.485,0.49,0.438,0.441,1376442.6,2022-12-07 23:59:59.999000064,631781.47182,3016,604745.8,278726.2141,0
2022-12-08,0.442,0.451,0.432,0.444,1133092.21,2022-12-08 23:59:59.999000064,501928.85266,2035,417722.65,184984.02116,0
2022-12-09,0.447,0.45,0.434,0.437,741767.62,2022-12-09 23:59:59.999000064,327371.18166,1660,371343.68,164324.99008,0
2022-12-10,0.438,0.445,0.437,0.44,250512.71,2022-12-10 23:59:59.999000064,110363.39466,780,156172.84,68810.89619,0
2022-12-11,0.439,0.447,0.43,0.43,312713.11,2022-12-11 23:59:59.999000064,137578.37262,1017,124052.68,54715.57285,0
2022-12-12,0.43,0.431,0.415,0.425,510488.25,2022-12-12 23:59:59.999000064,215152.5359,1176,227491.5,95826.38127,0
2022-12-13,0.426,0.461,0.408,0.441,941735.66,2022-12-13 23:59:59.999000064,405776.06902,1939,512081.86,221218.59285,0
2022-12-14,0.442,0.459,0.434,0.452,1259106.73,2022-12-14 23:59:59.999000064,563710.06496,2347,543276.96,243886.73976,0
2022-12-15,0.452,0.482,0.445,0.456,1817248.34,2022-12-15 23:59:59.999000064,842547.90308,4174,742911.42,345368.67859,0
2022-12-16,0.456,0.48,0.406,0.414,1020633.22,2022-12-16 23:59:59.999000064,455238.78366,3524,481616.45,215322.68877,0
2022-12-17,0.411,0.425,0.394,0.422,543279.45,2022-12-17 23:59:59.999000064,223345.63251,2092,267947.76,110542.76224,0
2022-12-18,0.423,0.425,0.415,0.42,327176.36,2022-12-18 23:59:59.999000064,137365.1157,1091,138926.14,58399.92209,0
2022-12-19,0.421,0.457,0.409,0.43,1855265.84,2022-12-19 23:59:59.999000064,807173.84228,4546,918120.83,400616.71484,0
2022-12-20,0.43,0.475,0.422,0.457,2007655.12,2022-12-20 23:59:59.999000064,913200.87918,6088,993637.71,452242.91716,0
2022-12-21,0.457,0.464,0.441,0.444,835881.83,2022-12-21 23:59:59.999000064,380393.95806,3371,314781.53,143322.89582,0
2022-12-22,0.444,0.446,0.425,0.438,515705.08,2022-12-22 23:59:59.999000064,224327.51208,1403,261107.69,113817.06989,0
2022-12-23,0.438,0.444,0.43,0.432,331424.65,2022-12-23 23:59:59.999000064,145117.71784,931,166848.13,73176.19307,0
2022-12-24,0.432,0.434,0.425,0.427,229669.61,2022-12-24 23:59:59.999000064,98262.18504,620,107784.17,46147.75837,0
2022-12-25,0.427,0.43,0.417,0.424,442486.96,2022-12-25 23:59:59.999000064,187774.0317,757,157017.33,66707.46914,0
2022-12-26,0.422,0.431,0.42,0.426,295910.62,2022-12-26 23:59:59.999000064,126190.48583,551,202304.31,86359.18893,0
2022-12-27,0.428,0.428,0.407,0.413,537793.35,2022-12-27 23:59:59.999000064,223203.82901,908,185704.58,77080.12373,0
