open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.705,0.778,0.705,0.711,10825796.5,2022-10-24 23:59:59.999000064,8078744.6916,27302,5134835.4,3837166.6646,0
2022-10-25,0.712,0.776,0.701,0.746,5347503.9,2022-10-25 23:59:59.999000064,3884596.4171,11583,2773323.6,2019444.6365,0
2022-10-26,0.747,0.789,0.738,0.752,5409019.4,2022-10-26 23:59:59.999000064,4100707.8748,12686,2716119.7,2061361.7647,0
2022-10-27,0.751,0.86,0.751,0.778,10416922.6,2022-10-27 23:59:59.999000064,8403503.0025,26696,5034731.0,4067901.7358,0
2022-10-28,0.778,0.83,0.752,0.816,5358275.1,2022-10-28 23:59:59.999000064,4215431.9191,13938,2607416.5,2052514.3335,0
2022-10-29,0.816,0.94,0.811,0.865,13449634.1,2022-10-29 23:59:59.999000064,11853694.3677,43985,6825342.2,6016049.016,0
2022-10-30,0.865,0.891,0.799,0.841,4788833.8,2022-10-30 23:59:59.999000064,4007618.8732,13204,2358090.9,1974854.4502,0
2022-10-31,0.84,0.99,0.838,0.954,20141116.2,2022-10-31 23:59:59.999000064,18498829.9232,56992,10325527.5,9491143.0304,0
2022-11-01,0.953,0.953,0.87,0.915,4903807.7,2022-11-01 23:59:59.999000064,4407860.483,14707,2147575.9,1931357.5629,0
2022-11-02,0.913,1.189,0.9,1.031,26280655.5,2022-11-02 23:59:59.999000064,27943221.2067,85134,12693982.2,13492501.8311,0
2022-11-03,1.03,1.394,0.986,1.286,40353555.3,2022-11-03 23:59:59.999000064,49872954.0999,153133,19937856.6,24607536.3542,0
2022-11-04,1.288,1.293,1.157,1.254,12482603.0,2022-11-04 23:59:59.999000064,15191806.5022,51944,5972957.1,7272964.107,0
2022-11-05,1.254,1.32,1.05,1.107,8361793.5,2022-11-05 23:59:59.999000064,10056824.8158,35638,3908817.0,4720266.6564,0
2022-11-06,1.106,1.162,1.012,1.018,5513610.7,2022-11-06 23:59:59.999000064,6132483.7705,22506,2768711.6,3083007.4961,0
2022-11-07,1.018,1.165,1.018,1.062,5502146.6,2022-11-07 23:59:59.999000064,5941248.8223,22067,2736701.9,2952032.4863,0
2022-11-08,1.063,1.083,0.666,0.769,9430879.7,2022-11-08 23:59:59.999000064,8421852.3352,37829,4410750.6,3953975.1122,0
2022-11-09,0.769,0.842,0.628,0.659,8431896.2,2022-11-09 23:59:59.999000064,6211184.5408,34644,4183575.7,3084775.9442,0
2022-11-10,0.659,0.791,0.65,0.77,8449183.8,2022-11-10 23:59:59.999000064,6282380.1396,31382,4062745.7,3026289.3387,0
2022-11-11,0.77,0.825,0.686,0.744,8620378.3,2022-11-11 23:59:59.999000064,6425884.9948,27773,4111849.0,3063826.971,0
2022-11-12,0.745,0.745,0.663,0.697,3579731.2,2022-11-12 23:59:59.999000064,2479353.1883,10331,1676614.6,1162248.3674,0
2022-11-13,0.697,0.742,0.647,0.665,6801931.9,2022-11-13 23:59:59.999000064,4759857.6929,20281,3098471.1,2173543.8609,0
2022-11-14,0.665,0.711,0.619,0.702,4279599.9,2022-11-14 23:59:59.999000064,2908637.8248,13985,2204057.5,1501115.1609,0
