open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2020-05-22,0.01952,0.02085,0.01952,0.02046,939673.2,2020-05-22 23:59:59.999000064,19230.508908,235,358839.8,7346.601644,0
2020-05-23,0.02055,0.02069,0.01966,0.02011,721595.7,2020-05-23 23:59:59.999000064,14458.495923,123,273429.1,5469.08755,0
2020-05-24,0.02008,0.02168,0.01927,0.01931,5362195.5,2020-05-24 23:59:59.999000064,108690.268077,1725,2576695.4,52213.344486,0
2020-05-25,0.01929,0.0217,0.01909,0.02122,6573982.1,2020-05-25 23:59:59.999000064,131487.594309,2118,3439361.4,68868.202025,0
2020-05-26,0.02147,0.02679,0.02113,0.0258,15997266.1,2020-05-26 23:59:59.999000064,374773.826525,1989,7621466.8,179272.391081,0
2020-05-27,0.0258,0.02645,0.0237,0.02439,62462268.1,2020-05-27 23:59:59.999000064,1560418.40125,14977,22017219.5,551051.973131,0
2020-05-28,0.02438,0.02666,0.02379,0.02517,75759584.9,2020-05-28 23:59:59.999000064,1874239.438801,17847,29686957.3,735833.595008,0
2020-05-29,0.02515,0.02689,0.02477,0.02594,18126331.6,2020-05-29 23:59:59.999000064,465726.728849,3544,5008906.3,129589.744246,0
2020-05-30,0.02581,0.02588,0.02303,0.02411,25592898.2,2020-05-30 23:59:59.999000064,635085.478798,4541,11206874.5,279141.648491,0
2020-05-31,0.02409,0.0249,0.01945,0.02042,42233652.7,2020-05-31 23:59:59.999000064,954480.817623,5950,16020249.8,361262.42848,0
2020-06-01,0.02045,0.02269,0.02027,0.02176,19223622.9,2020-06-01 23:59:59.999000064,415316.573511,2627,5918683.2,128240.481508,0
2020-06-02,0.02177,0.02249,0.01974,0.02086,15414101.0,2020-06-02 23:59:59.999000064,331319.139801,2501,4742431.2,102258.0792,0
2020-06-03,0.02081,0.02191,0.02023,0.0216,5403607.4,2020-06-03 23:59:59.999000064,114670.607689,711,2941543.0,62220.587376,0
