,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2020-08-14,0.008333,0.1,0.008333,0.065882,16320356.0,2020-08-14 23:59:59.999000064,1181298.73838,4719,5997570.0,432098.35587,0
1,2020-08-15,0.0668,0.070888,0.04901,0.050945,5755421.0,2020-08-15 23:59:59.999000064,340491.82642,1947,2562753.0,155099.620889,0
2,2020-08-16,0.051689,0.069999,0.048201,0.062028,1916082.0,2020-08-16 23:59:59.999000064,112619.44205,896,887912.0,52367.682355,0
3,2020-08-17,0.060869,0.065,0.052753,0.054492,1471924.0,2020-08-17 23:59:59.999000064,83907.151732,695,556775.0,31486.06411,0
4,2020-08-18,0.054492,0.061023,0.050036,0.051594,1651839.0,2020-08-18 23:59:59.999000064,89389.165634,680,744934.0,41526.50986,0
5,2020-08-19,0.051594,0.056811,0.048235,0.052173,1536949.0,2020-08-19 23:59:59.999000064,82171.298834,571,1090312.0,58757.219188,0
6,2020-08-20,0.052545,0.057255,0.05071,0.053913,1355807.0,2020-08-20 23:59:59.999000064,72586.888524,577,673404.0,36125.886535,0
7,2020-08-21,0.053333,0.053498,0.043629,0.043629,1164475.0,2020-08-21 23:59:59.999000064,58450.058662,444,433837.0,21965.38282,0
8,2020-08-22,0.0435,0.048779,0.040302,0.045797,844316.0,2020-08-22 23:59:59.999000064,37430.10816,493,294886.0,13190.698464,0
9,2020-08-23,0.046369,0.048217,0.039057,0.043923,632749.0,2020-08-23 23:59:59.999000064,28425.06259,274,284189.0,12707.108152,0
10,2020-08-24,0.043471,0.053333,0.041528,0.051014,1603131.0,2020-08-24 23:59:59.999000064,75366.486263,569,575525.0,27933.347535,0
11,2020-08-25,0.050662,0.056313,0.045217,0.048695,678014.0,2020-08-25 23:59:59.999000064,34461.150885,346,310664.0,16106.112851,0
12,2020-08-26,0.047536,0.058285,0.0432,0.058285,1268992.0,2020-08-26 23:59:59.999000064,67465.864522,474,827813.0,44570.887969,0
13,2020-08-27,0.058285,0.075428,0.052643,0.074285,4055012.0,2020-08-27 23:59:59.999000064,272706.834941,1779,2331994.0,157859.329471,0
14,2020-08-28,0.073142,0.083332,0.069091,0.069714,1532688.0,2020-08-28 23:59:59.999000064,115749.067333,1061,725017.0,55031.630496,0
15,2020-08-29,0.070285,0.074285,0.065144,0.072571,762889.0,2020-08-29 23:59:59.999000064,52827.043088,455,303154.0,21072.93399,0
16,2020-08-30,0.073142,0.073267,0.06479,0.066001,916952.0,2020-08-30 23:59:59.999000064,62039.594729,418,341503.0,23127.201488,0
17,2020-08-31,0.066857,0.078125,0.066857,0.071375,1112343.0,2020-08-31 23:59:59.999000064,79836.743178,502,620139.0,44537.643577,0
18,2020-09-01,0.0695,0.07079,0.059392,0.06,1165695.0,2020-09-01 23:59:59.999000064,74376.085557,491,277644.0,17735.35218,0
19,2020-09-02,0.059946,0.060081,0.050988,0.058638,899725.0,2020-09-02 23:59:59.999000064,50458.38409,388,288897.0,16381.709594,0
20,2020-09-03,0.058197,0.059139,0.04313,0.04313,584511.0,2020-09-03 23:59:59.999000064,30091.850409,284,278675.0,14352.416723,0
21,2020-09-04,0.044996,0.047551,0.038,0.045011,590428.0,2020-09-04 23:59:59.999000064,25392.888614,253,227722.0,10076.525139,0
22,2020-09-05,0.045953,0.047086,0.034966,0.037476,423817.0,2020-09-05 23:59:59.999000064,17028.365511,216,135069.0,5608.380678,0
23,2020-09-06,0.038399,0.042186,0.033157,0.040302,762384.0,2020-09-06 23:59:59.999000064,28913.262899,304,344079.0,12901.103703,0
24,2020-09-07,0.041135,0.04116,0.033422,0.038418,770946.0,2020-09-07 23:59:59.999000064,28130.873171,237,292025.0,10586.00566,0
25,2020-09-08,0.039343,0.058993,0.037033,0.049458,3101254.0,2020-09-08 23:59:59.999000064,147416.198172,966,1716792.0,81568.109278,0
26,2020-09-09,0.050652,0.056783,0.043,0.048125,3036790.0,2020-09-09 23:59:59.999000064,153471.835545,1084,1605636.0,81946.253998,0
27,2020-09-10,0.048437,0.053567,0.0422,0.049998,1186122.0,2020-09-10 23:59:59.999000064,59243.686486,460,492617.0,24916.471972,0
28,2020-09-11,0.049987,0.05443,0.046227,0.05246,1032512.0,2020-09-11 23:59:59.999000064,51592.992001,252,395328.0,19951.062669,0
29,2020-09-12,0.051737,0.051737,0.047382,0.049307,317958.0,2020-09-12 23:59:59.999000064,15757.449692,95,196455.0,9724.718542,0
30,2020-09-13,0.04972,0.04972,0.04138,0.043651,956172.0,2020-09-13 23:59:59.999000064,44127.052902,259,195394.0,9233.993919,0
31,2020-09-14,0.042186,0.047835,0.041303,0.046,386762.0,2020-09-14 23:59:59.999000064,17394.872181,118,234624.0,10580.398235,0
32,2020-09-15,0.046888,0.051603,0.042108,0.042186,1386633.0,2020-09-15 23:59:59.999000064,65011.963154,368,627645.0,29654.740246,0
33,2020-09-16,0.043007,0.04972,0.04052,0.044069,862657.0,2020-09-16 23:59:59.999000064,38741.838661,249,384129.0,17322.718,0
34,2020-09-17,0.045953,0.046678,0.042555,0.044959,409510.0,2020-09-17 23:59:59.999000064,18208.19391,87,200896.0,8975.194026,0
35,2020-09-18,0.043137,0.046895,0.042722,0.043779,663943.0,2020-09-18 23:59:59.999000064,29675.529923,129,331483.0,14747.616187,0
36,2020-09-19,0.043778,0.048775,0.04264,0.047726,886959.0,2020-09-19 23:59:59.999000064,40631.061954,183,422139.0,19340.30858,0
37,2020-09-20,0.04764,0.04764,0.042288,0.042681,787211.0,2020-09-20 23:59:59.999000064,34333.481107,138,69155.0,3039.915325,0
38,2020-09-21,0.043357,0.045952,0.015001,0.038149,993470.0,2020-09-21 23:59:59.999000064,37897.290979,406,478138.0,18789.272955,0
39,2020-09-22,0.038001,0.044076,0.036534,0.044075,365036.0,2020-09-22 23:59:59.999000064,14994.512432,144,246844.0,10214.302852,0
40,2020-09-23,0.044983,0.048962,0.041166,0.043303,1218417.0,2020-09-23 23:59:59.999000064,54848.493806,388,530015.0,23949.317495,0
41,2020-09-24,0.043034,0.050785,0.042503,0.047814,1739242.0,2020-09-24 23:59:59.999000064,83733.386234,633,843898.0,40672.476406,0
42,2020-09-25,0.048185,0.04972,0.045585,0.048557,1113875.0,2020-09-25 23:59:59.999000064,53202.316155,453,493638.0,23531.959713,0
43,2020-09-26,0.048185,0.048779,0.045533,0.046011,509105.0,2020-09-26 23:59:59.999000064,23880.086625,178,325937.0,15257.186243,0
44,2020-09-27,0.046012,0.046012,0.041244,0.042988,1645681.0,2020-09-27 23:59:59.999000064,70732.762718,461,574057.0,24680.839354,0
45,2020-09-28,0.043357,0.045585,0.040385,0.041499,2834164.0,2020-09-28 23:59:59.999000064,122180.545349,918,1396988.0,60559.022971,0
46,2020-09-29,0.041346,0.043948,0.041346,0.043443,1181236.0,2020-09-29 23:59:59.999000064,49983.910182,464,577314.0,24481.923489,0
47,2020-09-30,0.042985,0.048061,0.042135,0.045943,2417874.0,2020-09-30 23:59:59.999000064,110725.681528,840,1062474.0,48856.350638,0
48,2020-10-01,0.046216,0.046764,0.041453,0.042242,1154385.0,2020-10-01 23:59:59.999000064,50366.37115,550,339842.0,15025.06052,0
49,2020-10-02,0.042444,0.043127,0.039142,0.040812,1300005.0,2020-10-02 23:59:59.999000064,53384.945307,570,695287.0,28652.032161,0
50,2020-10-03,0.041071,0.047248,0.040819,0.04522,2243055.0,2020-10-03 23:59:59.999000064,100062.40996,743,1264896.0,56413.64062,0
51,2020-10-04,0.04522,0.048909,0.042265,0.048557,2722599.0,2020-10-04 23:59:59.999000064,124396.822176,1006,1357710.0,62301.952382,0
52,2020-10-05,0.04844,0.054445,0.047214,0.05067,4213597.0,2020-10-05 23:59:59.999000064,215050.86414,1623,1999103.0,101984.861223,0
53,2020-10-06,0.05046,0.050724,0.045856,0.046328,2485984.0,2020-10-06 23:59:59.999000064,118252.392773,1051,924302.0,44057.456664,0
54,2020-10-07,0.046572,0.046699,0.042614,0.045294,1137256.0,2020-10-07 23:59:59.999000064,50727.105639,502,475546.0,21293.401865,0
55,2020-10-08,0.045294,0.047837,0.043047,0.047837,1080903.0,2020-10-08 23:59:59.999000064,49276.226406,416,568173.0,25978.297501,0
56,2020-10-09,0.047442,0.050414,0.046058,0.049656,1031520.0,2020-10-09 23:59:59.999000064,49542.405427,468,461315.0,22363.252988,0
57,2020-10-10,0.049594,0.051526,0.045521,0.045642,2082382.0,2020-10-10 23:59:59.999000064,99813.685181,731,612184.0,29580.121769,0
58,2020-10-11,0.045867,0.049496,0.045867,0.048708,1127110.0,2020-10-11 23:59:59.999000064,54180.610359,400,614366.0,29561.249186,0
59,2020-10-12,0.048564,0.050465,0.046402,0.047638,1622159.0,2020-10-12 23:59:59.999000064,78991.111259,553,757117.0,37086.210782,0
60,2020-10-13,0.047389,0.049169,0.045375,0.046198,941208.0,2020-10-13 23:59:59.999000064,44354.211708,318,254439.0,12089.337508,0
61,2020-10-14,0.046557,0.047074,0.045054,0.045829,475859.0,2020-10-14 23:59:59.999000064,21845.368505,175,201335.0,9252.855225,0
62,2020-10-15,0.045693,0.046198,0.044136,0.04486,512299.0,2020-10-15 23:59:59.999000064,23147.22005,204,165535.0,7499.493786,0
63,2020-10-16,0.044785,0.044995,0.041077,0.04362,1362188.0,2020-10-16 23:59:59.999000064,58018.200515,420,404926.0,17280.66059,0
64,2020-10-17,0.043179,0.044233,0.042588,0.043148,373273.0,2020-10-17 23:59:59.999000064,16148.844629,131,99383.0,4301.082334,0
65,2020-10-18,0.043115,0.043624,0.042265,0.04276,588784.0,2020-10-18 23:59:59.999000064,25220.955736,215,227977.0,9763.851242,0
66,2020-10-19,0.042674,0.043894,0.040678,0.040693,1756219.0,2020-10-19 23:59:59.999000064,73987.170328,591,632753.0,26755.698497,0
67,2020-10-20,0.040747,0.04164,0.038078,0.03895,1196438.0,2020-10-20 23:59:59.999000064,46749.462873,367,404443.0,15768.367067,0
68,2020-10-21,0.038943,0.039401,0.036669,0.038387,1025354.0,2020-10-21 23:59:59.999000064,39110.471381,387,347647.0,13284.511202,0
69,2020-10-22,0.03855,0.041692,0.038387,0.039819,783228.0,2020-10-22 23:59:59.999000064,31463.119758,249,477121.0,19237.775826,0
70,2020-10-23,0.03959,0.04308,0.038765,0.039925,3217317.0,2020-10-23 23:59:59.999000064,132723.961065,652,2317521.0,95868.166947,0
71,2020-10-24,0.040184,0.042,0.03993,0.040589,30825979.0,2020-10-24 23:59:59.999000064,1255936.996162,742,28653736.0,1167289.796152,0
72,2020-10-25,0.040621,0.04097,0.038418,0.03938,1704279.0,2020-10-25 23:59:59.999000064,66639.086803,421,1111287.0,43421.350143,0
73,2020-10-26,0.039302,0.04133,0.037476,0.03783,6730386.0,2020-10-26 23:59:59.999000064,261490.863878,512,5910680.0,229308.216837,0
74,2020-10-27,0.038316,0.039029,0.037703,0.037969,1033280.0,2020-10-27 23:59:59.999000064,40045.934616,172,928072.0,36023.484799,0
75,2020-10-28,0.037648,0.038522,0.034359,0.035578,1840886.0,2020-10-28 23:59:59.999000064,66620.214423,558,852898.0,31085.932709,0
76,2020-10-29,0.03545,0.0394,0.03315,0.037654,2089982.0,2020-10-29 23:59:59.999000064,76130.872876,556,1282175.0,46781.466712,0
77,2020-10-30,0.037605,0.038823,0.034089,0.035593,2560249.0,2020-10-30 23:59:59.999000064,91865.434647,634,1406498.0,50649.476219,0
78,2020-10-31,0.035874,0.036535,0.034747,0.035675,752659.0,2020-10-31 23:59:59.999000064,26858.204656,179,398449.0,14233.883233,0
79,2020-11-01,0.035544,0.036413,0.034788,0.035536,632449.0,2020-11-01 23:59:59.999000064,22439.837713,140,292789.0,10451.205955,0
80,2020-11-02,0.03578,0.036121,0.034,0.035295,679612.0,2020-11-02 23:59:59.999000064,23599.710866,127,109613.0,3814.406537,0
81,2020-11-03,0.035088,0.035088,0.030073,0.030849,1577504.0,2020-11-03 23:59:59.999000064,50931.322098,440,417746.0,13324.116675,0
82,2020-11-04,0.03096,0.031841,0.028888,0.031488,1375882.0,2020-11-04 23:59:59.999000064,41107.566022,378,678926.0,20397.689963,0
83,2020-11-05,0.031842,0.037785,0.031842,0.03399,5402576.0,2020-11-05 23:59:59.999000064,189739.793039,1006,3422144.0,120462.564312,0
84,2020-11-06,0.033955,0.038301,0.033955,0.037711,1541504.0,2020-11-06 23:59:59.999000064,56816.560111,504,804270.0,29828.059503,0
85,2020-11-07,0.0375,0.041007,0.034302,0.036159,1966831.0,2020-11-07 23:59:59.999000064,75134.61811,826,757614.0,29408.530459,0
86,2020-11-08,0.036328,0.038515,0.035054,0.037982,644239.0,2020-11-08 23:59:59.999000064,23582.977711,224,287302.0,10610.484152,0
87,2020-11-09,0.03829,0.039886,0.03609,0.037996,901884.0,2020-11-09 23:59:59.999000064,34136.206079,332,411735.0,15639.141355,0
88,2020-11-10,0.038044,0.042407,0.038044,0.04158,1224874.0,2020-11-10 23:59:59.999000064,50065.457948,427,641777.0,26355.916668,0
89,2020-11-11,0.041344,0.043991,0.040301,0.042613,1480403.0,2020-11-11 23:59:59.999000064,62681.938995,529,786758.0,33396.403126,0
90,2020-11-12,0.042158,0.055685,0.038295,0.038992,8270535.0,2020-11-12 23:59:59.999000064,394513.770009,2847,3622360.0,175046.06902,0
91,2020-11-13,0.0388,0.041728,0.038673,0.038879,1770991.0,2020-11-13 23:59:59.999000064,70894.567874,572,529963.0,21277.126088,0
92,2020-11-14,0.038982,0.039672,0.037003,0.038419,649997.0,2020-11-14 23:59:59.999000064,24889.131308,231,238375.0,9189.842147,0
93,2020-11-15,0.037669,0.040641,0.037156,0.037623,948471.0,2020-11-15 23:59:59.999000064,37069.710378,329,346087.0,13641.261995,0
94,2020-11-16,0.037623,0.039228,0.037424,0.038582,1003886.0,2020-11-16 23:59:59.999000064,38586.657585,303,401311.0,15488.842095,0
95,2020-11-17,0.038563,0.03906,0.036628,0.037224,527911.0,2020-11-17 23:59:59.999000064,19850.011245,192,211401.0,7969.394937,0
96,2020-11-18,0.037242,0.037266,0.034,0.03574,748285.0,2020-11-18 23:59:59.999000064,26645.291239,291,243249.0,8606.323545,0
97,2020-11-19,0.035474,0.037337,0.034852,0.035593,913956.0,2020-11-19 23:59:59.999000064,33017.166135,354,429383.0,15547.426108,0
98,2020-11-20,0.035927,0.037736,0.035793,0.036526,797469.0,2020-11-20 23:59:59.999000064,29394.864278,266,308380.0,11390.345437,0
99,2020-11-21,0.036699,0.040432,0.036327,0.040302,696931.0,2020-11-21 23:59:59.999000064,26903.428508,313,299238.0,11490.677587,0
100,2020-11-22,0.040096,0.049882,0.035832,0.045166,6294653.0,2020-11-22 23:59:59.999000064,280192.700614,1896,3003788.0,137689.830569,0
101,2020-11-23,0.045214,0.06109,0.041821,0.047652,7771790.0,2020-11-23 23:59:59.999000064,415437.838857,3026,4116866.0,222368.360495,0
102,2020-11-24,0.047652,0.050322,0.045296,0.045439,2611370.0,2020-11-24 23:59:59.999000064,123780.832542,1025,908451.0,43415.907023,0
103,2020-11-25,0.045822,0.052704,0.043272,0.045099,1797635.0,2020-11-25 23:59:59.999000064,85591.824788,839,781715.0,37749.29372,0
104,2020-11-26,0.044818,0.045925,0.0369,0.041681,2107538.0,2020-11-26 23:59:59.999000064,84680.928819,942,844992.0,34060.912653,0
105,2020-11-27,0.04156,0.046146,0.039,0.045958,903492.0,2020-11-27 23:59:59.999000064,37992.946842,398,379153.0,16140.614333,0
