,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2021-05-10,1.411e-05,4.9e-05,1.411e-05,3.468e-05,12848964269758.0,2021-05-10 23:59:59.999000064,409756002.47723573,916747,6696123550771.0,214637758.00642288,0
1,2021-05-11,3.469e-05,3.8e-05,2.788e-05,3.04e-05,8218326183442.0,2021-05-11 23:59:59.999000064,270953178.70724887,875751,3989353192009.0,131802951.80088124,0
2,2021-05-12,3.044e-05,3.151e-05,1.746e-05,1.822e-05,10394302821864.0,2021-05-12 23:59:59.999000064,255621255.8731478,796736,4951281738741.0,121949544.5649494,0
3,2021-05-13,1.819e-05,2.357e-05,1.51e-05,2.101e-05,12352371192838.0,2021-05-13 23:59:59.999000064,239300414.2660843,603423,6150700593260.0,119388174.17651732,0
4,2021-05-14,2.102e-05,2.223e-05,1.82e-05,1.842e-05,6743153431236.0,2021-05-14 23:59:59.999000064,135930485.8210506,324658,3386632116546.0,68231644.89356312,0
5,2021-05-15,1.843e-05,1.898e-05,1.504e-05,1.557e-05,6179516071062.0,2021-05-15 23:59:59.999000064,104797175.48148768,281202,3116826016198.0,52892357.09475426,0
6,2021-05-16,1.553e-05,1.97e-05,1.237e-05,1.785e-05,7813761672447.0,2021-05-16 23:59:59.999000064,122126274.57779294,304031,4081711379753.0,63901931.59328471,0
7,2021-05-17,1.784e-05,1.809e-05,1.41e-05,1.652e-05,9879243927111.0,2021-05-17 23:59:59.999000064,159203286.79050472,339960,5154464733858.0,83170170.46620433,0
8,2021-05-18,1.65e-05,1.8e-05,1.522e-05,1.562e-05,4721742193948.0,2021-05-18 23:59:59.999000064,77610700.38697629,192268,2387486052947.0,39303057.47083053,0
9,2021-05-19,1.561e-05,1.58e-05,6e-06,9.1e-06,15278289099896.0,2021-05-19 23:59:59.999000064,174651252.67414525,350275,7273739194795.0,83606076.0776509,0
10,2021-05-20,9.1e-06,1.218e-05,8e-06,9.67e-06,15513640958847.0,2021-05-20 23:59:59.999000064,155674453.6407762,297061,7932107255348.0,79706195.82074392,0
11,2021-05-21,9.66e-06,1.037e-05,6.55e-06,8.21e-06,8697146549015.0,2021-05-21 23:59:59.999000064,72735734.43520574,216865,4217264808185.0,35459332.89561171,0
12,2021-05-22,8.23e-06,9.84e-06,6.72e-06,8.43e-06,6748722900480.0,2021-05-22 23:59:59.999000064,53326473.63122419,162134,3462888072693.0,27351079.30060459,0
13,2021-05-23,8.44e-06,9.64e-06,6.95e-06,8.11e-06,9228982771374.0,2021-05-23 23:59:59.999000064,74875261.9161397,212176,4593703455951.0,37351627.88108379,0
14,2021-05-24,8.11e-06,1.207e-05,7.73e-06,1.066e-05,9708379041957.0,2021-05-24 23:59:59.999000064,94236720.55853479,235019,5060694171788.0,49084059.79574026,0
15,2021-05-25,1.066e-05,1.117e-05,8.77e-06,9.4e-06,7262235765778.0,2021-05-25 23:59:59.999000064,69996398.57025523,175837,3597987175501.0,34724453.42537925,0
16,2021-05-26,9.4e-06,1.052e-05,9.15e-06,9.5e-06,5321957897556.0,2021-05-26 23:59:59.999000064,51823070.15967366,127459,2729295067565.0,26578024.32205576,0
17,2021-05-27,9.5e-06,9.51e-06,8.5e-06,8.8e-06,3154929517501.0,2021-05-27 23:59:59.999000064,28217200.62931799,82240,1587875198328.0,14208425.11534758,0
18,2021-05-28,8.8e-06,8.85e-06,7.51e-06,7.92e-06,3433147193309.0,2021-05-28 23:59:59.999000064,27517717.05246326,88395,1686542338675.0,13518475.19086784,0
19,2021-05-29,7.9e-06,8.21e-06,7.29e-06,7.92e-06,2631061483003.0,2021-05-29 23:59:59.999000064,20390867.20021726,64273,1326833660455.0,10303012.2508793,0
20,2021-05-30,7.92e-06,8.17e-06,7.52e-06,7.87e-06,2091854369241.0,2021-05-30 23:59:59.999000064,16410937.34136158,50738,1084038988292.0,8514080.26031605,0
