,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2019-10-21,0.3,0.3,0.28859,0.29236,239358.5,2019-10-21 23:59:59.999000064,69861.715418,532,108121.3,31604.146385,0
1,2019-10-22,0.29185,0.30291,0.28918,0.29049,501959.9,2019-10-22 23:59:59.999000064,148569.93738,1655,178844.1,52904.94035,0
2,2019-10-23,0.28913,0.29131,0.2494,0.27327,894342.6,2019-10-23 23:59:59.999000064,243044.205017,2136,387867.4,104858.775363,0
3,2019-10-24,0.27308,0.27955,0.26673,0.27806,487432.4,2019-10-24 23:59:59.999000064,131752.647427,1192,40038.1,10908.950873,0
4,2019-10-25,0.27528,0.30696,0.27436,0.29815,809081.8,2019-10-25 23:59:59.999000064,235045.871987,1546,118701.1,34765.15709,0
5,2019-10-26,0.29826,0.3122,0.2845,0.29374,955655.0,2019-10-26 23:59:59.999000064,286503.439399,1964,468383.2,140188.093314,0
6,2019-10-27,0.29374,0.30245,0.29004,0.29864,216537.5,2019-10-27 23:59:59.999000064,64247.906098,480,114176.8,33842.161406,0
7,2019-10-28,0.29823,0.30546,0.29424,0.29489,804544.5,2019-10-28 23:59:59.999000064,240247.94221,1858,246278.1,73614.522476,0
8,2019-10-29,0.29539,0.3099,0.29463,0.30231,1292532.5,2019-10-29 23:59:59.999000064,388493.423689,2745,315954.8,94836.011466,0
9,2019-10-30,0.30241,0.30637,0.29062,0.29488,414385.2,2019-10-30 23:59:59.999000064,123124.97399,883,210575.6,62706.101369,0
10,2019-10-31,0.29552,0.29847,0.2886,0.2948,345262.3,2019-10-31 23:59:59.999000064,101442.465812,692,209728.8,61636.3096,0
11,2019-11-01,0.29458,0.29458,0.28483,0.29152,515416.4,2019-11-01 23:59:59.999000064,149727.656149,836,121737.5,35354.459552,0
12,2019-11-02,0.2918,0.29789,0.29163,0.29479,170891.2,2019-11-02 23:59:59.999000064,50241.646965,367,46300.9,13634.702206,0
13,2019-11-03,0.29511,0.29629,0.28891,0.29073,333507.5,2019-11-03 23:59:59.999000064,97133.245519,756,233323.0,67890.931595,0
14,2019-11-04,0.29044,0.3002,0.28943,0.2991,511206.3,2019-11-04 23:59:59.999000064,150702.033534,860,220687.2,65083.229776,0
15,2019-11-05,0.299,0.30457,0.29403,0.30081,467490.0,2019-11-05 23:59:59.999000064,140142.791667,747,207846.0,62282.037479,0
16,2019-11-06,0.30094,0.31301,0.29726,0.31038,323771.8,2019-11-06 23:59:59.999000064,98055.118014,535,156786.5,47562.93687,0
17,2019-11-07,0.31016,0.31422,0.24159,0.29029,1783545.2,2019-11-07 23:59:59.999000064,522905.103167,3235,822576.6,242874.564152,0
18,2019-11-08,0.28967,0.29036,0.27076,0.27518,958182.1,2019-11-08 23:59:59.999000064,268421.578451,1977,400703.8,111491.254399,0
19,2019-11-09,0.275,0.28122,0.27436,0.2787,501893.1,2019-11-09 23:59:59.999000064,139813.545232,1058,108050.3,30094.00309,0
