open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.4689,0.473,0.4479,0.4529,74204318.0,2022-10-24 23:59:59.999000064,33939225.2072,62798,40325374.0,18443820.0873,0
2022-10-25,0.4529,0.4729,0.4433,0.4607,127442183.0,2022-10-25 23:59:59.999000064,58121013.1355,100584,70713569.0,32219212.6272,0
2022-10-26,0.4609,0.4715,0.4564,0.469,98807363.0,2022-10-26 23:59:59.999000064,45871044.2972,87370,57780613.0,26826189.446,0
2022-10-27,0.469,0.4825,0.4586,0.4615,120466433.0,2022-10-27 23:59:59.999000064,56775943.2501,104162,67075255.0,31621863.3862,0
2022-10-28,0.4616,0.4755,0.4565,0.4745,78184077.0,2022-10-28 23:59:59.999000064,36337950.6717,66658,46085676.0,21413689.4952,0
2022-10-29,0.4745,0.4837,0.4663,0.4703,78357497.0,2022-10-29 23:59:59.999000064,37081622.7861,78601,39046720.0,18483374.7962,0
2022-10-30,0.4703,0.4734,0.4538,0.4582,51440718.0,2022-10-30 23:59:59.999000064,23863283.2848,55625,25550116.0,11859206.3548,0
2022-10-31,0.4581,0.4673,0.4477,0.4642,94942852.0,2022-10-31 23:59:59.999000064,43336593.8784,84315,53523831.0,24432392.319,0
2022-11-01,0.4641,0.467,0.4543,0.4635,89221134.0,2022-11-01 23:59:59.999000064,41076032.7046,76463,50999164.0,23476825.8208,0
2022-11-02,0.4634,0.4658,0.4452,0.4498,89682637.0,2022-11-02 23:59:59.999000064,41042799.3578,88639,46672307.0,21361948.7456,0
2022-11-03,0.4498,0.4596,0.4487,0.4548,70628857.0,2022-11-03 23:59:59.999000064,32186730.3107,59858,42847207.0,19528621.5204,0
2022-11-04,0.4548,0.5077,0.4531,0.5064,203345745.0,2022-11-04 23:59:59.999000064,99481127.0104,182092,111011135.0,54322410.5209,0
2022-11-05,0.5064,0.51,0.4892,0.4931,67311155.0,2022-11-05 23:59:59.999000064,33562216.1303,76294,33593541.0,16757583.4855,0
2022-11-06,0.4931,0.4947,0.468,0.4708,71705718.0,2022-11-06 23:59:59.999000064,34857983.4363,65759,37681469.0,18333296.5531,0
2022-11-07,0.4709,0.4799,0.4587,0.4649,110497466.0,2022-11-07 23:59:59.999000064,52071820.3018,88193,61689835.0,29104529.0087,0
2022-11-08,0.4649,0.467,0.3373,0.4061,337545413.0,2022-11-08 23:59:59.999000064,142723541.398,278197,165555769.0,70326941.915,0
2022-11-09,0.406,0.4109,0.315,0.3325,323994163.0,2022-11-09 23:59:59.999000064,119442906.9716,264878,160573281.0,59363083.3737,0
2022-11-10,0.3325,0.4019,0.3296,0.3932,356765255.0,2022-11-10 23:59:59.999000064,131632705.1315,267251,182121696.0,67268199.4905,0
2022-11-11,0.3931,0.3979,0.3653,0.3832,235131944.0,2022-11-11 23:59:59.999000064,89741544.1882,176010,113201238.0,43182366.5646,0
2022-11-12,0.3835,0.3837,0.359,0.3629,122425545.0,2022-11-12 23:59:59.999000064,44962315.7452,88059,58284184.0,21416700.5869,0
2022-11-13,0.3629,0.3688,0.3322,0.3404,118416211.0,2022-11-13 23:59:59.999000064,41538250.3272,92812,60467452.0,21212331.3699,0
2022-11-14,0.3402,0.3796,0.3206,0.377,317281766.0,2022-11-14 23:59:59.999000064,109944530.803,240493,162070384.0,56144608.6541,0
2022-11-15,0.377,0.3971,0.3661,0.3883,260002282.0,2022-11-15 23:59:59.999000064,99228380.2575,198325,130854540.0,49947492.3349,0
2022-11-16,0.3883,0.391,0.3613,0.3749,189021513.0,2022-11-16 23:59:59.999000064,71074001.7019,130819,107585081.0,40415074.8104,0
2022-11-17,0.3749,0.3869,0.3689,0.3815,175854926.0,2022-11-17 23:59:59.999000064,66330067.045,124964,94015358.0,35465666.8366,0
2022-11-18,0.3816,0.3875,0.3737,0.3825,137106453.0,2022-11-18 23:59:59.999000064,52236978.0076,81527,78631677.0,29942008.5249,0
2022-11-19,0.3825,0.3879,0.3749,0.3836,50707441.0,2022-11-19 23:59:59.999000064,19297203.3586,40580,24803643.0,9442230.6232,0
2022-11-20,0.3837,0.3963,0.3581,0.3604,131311161.0,2022-11-20 23:59:59.999000064,49615418.684,96541,71557069.0,27059658.1707,0
2022-11-21,0.3604,0.3685,0.3451,0.3641,242371550.0,2022-11-21 23:59:59.999000064,85919136.0777,164982,122253276.0,43338560.821,0
2022-11-22,0.3641,0.3779,0.3507,0.3751,206720885.0,2022-11-22 23:59:59.999000064,75350951.1483,120475,105099299.0,38287385.5628,0
2022-11-23,0.3753,0.382,0.3676,0.3811,156945406.0,2022-11-23 23:59:59.999000064,58932139.3651,96079,90516099.0,33965215.4063,0
2022-11-24,0.381,0.4048,0.3739,0.4015,184255195.0,2022-11-24 23:59:59.999000064,71776892.9061,124635,88035536.0,34294202.2863,0
2022-11-25,0.4014,0.419,0.3886,0.4076,206647558.0,2022-11-25 23:59:59.999000064,83527413.2858,156121,113747978.0,45993150.7746,0
2022-11-26,0.4075,0.4143,0.3923,0.3958,69699386.0,2022-11-26 23:59:59.999000064,28145068.5062,64200,34636848.0,13987183.1364,0
2022-11-27,0.3958,0.4093,0.3941,0.396,72980248.0,2022-11-27 23:59:59.999000064,29313071.8906,65391,36635631.0,14719508.6501,0
